,Gold2000,Silver2000,Bronze2000,Total2000,Population,Athletes,GDP,Total1996,Log1996,Log.population,Log.GDP,Log.athletes
0,1.0,0.8928571428571428,1.0,0.9999999999999999,0.21804330405718644,1.0,0.9999999999999999,1.0,1.0,0.8177606552163424,1.0000000000000002,6.498282149
1,0.8205128205128205,1.0,0.8484848484848485,0.90625,0.11720389166179439,0.7025796661608498,0.04686431846768041,0.62,0.897730559957986,0.7435524254484297,0.6422971899976575,6.148468296
2,0.717948717948718,0.5714285714285714,0.4545454545454546,0.6041666666666666,0.9999999999999999,0.4400606980273141,0.1195679988495337,0.49,0.8476534882653423,1.0,0.7516146520801885,5.6869753560000005
3,0.41025641025641024,0.8928571428571428,0.5151515151515151,0.59375,0.014516465642081183,0.9863429438543247,0.04842030298079684,0.4,0.8046533245060217,0.4951903447171059,0.6461040906858293,6.484635236
4,0.358974358974359,0.6071428571428571,0.7878787878787878,0.5833333333333334,0.06518788404033131,0.7465857359635812,0.3123547708134738,0.64,0.9045023319810307,0.673511511080419,0.8638741688407119,6.208590026
5,0.3333333333333333,0.5,0.33333333333333337,0.38541666666666663,0.046508608397947425,0.5371775417298938,0.2025141865288645,0.36,0.7824103183652571,0.6332629619055382,0.8132018469958786,5.883322388
6,0.358974358974359,0.2857142857142857,0.3939393939393939,0.35416666666666663,0.045461931715896575,0.6191198786039454,0.15055088619213103,0.34,0.7703694947734774,0.6305517902931664,0.7785406954329537,6.023447592999999
7,0.28205128205128205,0.39285714285714285,0.21212121212121213,0.29166666666666663,0.008618753196187356,0.3641881638846738,0.0022639231006335494,0.24,0.6974630051681486,0.43407753132191884,0.296846861729523,5.501258211000001
8,0.28205128205128205,0.3571428571428571,0.21212121212121213,0.28124999999999994,0.046481525439659964,0.5311077389984826,0.1520910094971627,0.13999999999999999,0.586777786414196,0.6331935771438356,0.7797302738547733,5.872117789
9,0.20512820512820512,0.3214285714285714,0.33333333333333337,0.28124999999999994,0.018362245718901198,0.4355083459787557,0.06366398136413791,0.26,0.7141388515987046,0.5229246275751965,0.6780225031153955,5.676753802
10,0.28205128205128205,0.21428571428571427,0.2727272727272727,0.26041666666666663,0.01766605437939401,0.2488619119878604,0.004589044029127523,0.19,0.6491124691034801,0.5183570508365288,0.37474660634550716,5.129898715
11,0.3076923076923077,0.3214285714285714,0.12121212121212122,0.24999999999999997,0.012252648952287793,0.37784522003034904,0.053015162786222106,0.18,0.6379982858852826,0.4752459043555296,0.6566731276353308,5.537334267
12,0.07692307692307693,0.3571428571428571,0.30303030303030304,0.22916666666666666,0.04027793487663712,0.3687405159332322,0.007855527657452892,0.22,0.6793959560644773,0.6161366175930195,0.4356584661663616,5.513428746000001
13,0.1282051282051282,0.2857142857142857,0.15151515151515152,0.17708333333333334,0.10035430881900778,0.4264036418816389,0.6804078921141774,0.13,0.5718284756116152,0.7250113076952888,0.9549474533947695,5.655991811
14,0.20512820512820512,0.21428571428571427,0.09090909090909091,0.16666666666666666,0.007822195599497213,0.30197268588770865,0.005657428570371157,0.19999999999999998,0.6596842762362038,0.4227918904412228,0.39833800141997244,5.318119994
15,0.07692307692307693,0.10714285714285714,0.33333333333333337,0.16666666666666666,0.007980710561238552,0.22913505311077392,0.0027730678801548263,0.13999999999999999,0.586777786414196,0.4251241285437469,0.31887370455968345,5.049856007
16,0.15384615384615385,0.17857142857142855,0.09090909090909091,0.13541666666666666,0.03060533598002871,0.30349013657056145,0.016285495401042713,0.16,0.6138980192529606,0.5834780581147435,0.5195054416816618,5.323009979
17,0.07692307692307693,0.10714285714285714,0.24242424242424243,0.13541666666666666,0.024109408779020583,0.496206373292868,0.07513282440003659,0.21,0.669764189605452,0.555162610475192,0.697352459662546,5.805134969
18,0.1282051282051282,0.21428571428571427,0.06060606060606061,0.12499999999999999,0.006404323077388757,0.1411229135053111,0.0011171577561043182,0.13999999999999999,0.586777786414196,0.39962195284708135,0.22332905088354882,4.5849674789999995
19,0.10256410256410256,0.21428571428571427,0.09090909090909091,0.12499999999999999,0.008207729476295243,0.24430955993930198,0.015669419643683246,0.07,0.45057144972493895,0.4283870720699131,0.5150466923041479,5.111987788
20,0.10256410256410256,0.17857142857142855,0.09090909090909091,0.11458333333333333,0.0068336676220047445,0.24127465857359637,0.02985119014574864,0.07,0.45057144972493895,0.4071229740299661,0.5897891426594595,5.099866428
21,0.0,0.21428571428571427,0.18181818181818182,0.11458333333333333,0.13187409292003677,0.30500758725341426,0.09359685673152314,0.13999999999999999,0.586777786414196,0.7576445344805282,0.7230085226543499,5.327876169
22,0.07692307692307693,0.10714285714285714,0.15151515151515152,0.10416666666666666,0.03133020339301674,0.5295902883156298,0.07425384911867197,0.16,0.6138980192529606,0.586259306468807,0.6959788577814274,5.8692969129999994
