,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
0,0.9999999999999999,0.13195441114394263,0.826131967203417,0.9624027442003096,0.9182443306510606,0.9937885416511131,0.7605950245511044,0.3728954113685481,2.5173799999999997
1,0.9945240101095195,0.25631067961165044,0.7704120869369744,1.0,0.9244964642770056,0.9388410254878831,0.25629178670435393,0.5481982208373122,2.70201
2,0.9873631002527378,0.12494723512030398,0.7841128240318974,0.9702973121385222,0.853099244086808,0.9696146208173444,0.8761754633907702,0.4289465748605318,2.4920400000000003
3,0.9863100252737994,0.17154917686787674,0.8630991114634233,0.949166684495411,0.8634089246525238,1.0,0.6613940678733852,0.4359828114791175,2.4653099999999997
4,0.9663016006739679,0.14394259181089064,0.7845919948888442,0.9432190154254296,0.8833260180443793,0.945112209397817,0.5971444619593774,0.5756018495250541,2.4517599999999997
5,0.9618786857624263,0.10907555930772478,0.7632718495995078,0.9401168139320939,0.8672128749085589,0.9581323817060605,0.7496149734558171,0.2933985022867769,2.61955
6,0.9559814658803704,0.08028704094554662,0.786455437110304,0.9129529392467712,0.8708510119483052,0.9194152867573501,0.5764345636063851,0.5982057596622607,2.4657
7,0.9530328559393427,0.11051076403545801,0.7877982986476734,0.9192999721871592,0.8884369665935138,0.985173129470085,0.7944048848544145,0.4556214504699201,2.3711900000000004
8,0.9366048862679023,0.1285774588433939,0.7395676814046213,0.9411223551057959,0.8859985369422093,0.9546832305555971,0.7776992625609248,0.5968362064632861,2.26425
9,0.9361836562763267,0.18868720979316167,0.7889045326013654,0.9336770715217902,0.9086174103877104,0.9723918594060291,0.6457031037669184,0.5473438206764839,2.26646
10,0.9349199663016005,0.13693541578725205,0.7267838761964484,0.8728453962616689,0.8913630821750793,0.6169501142251353,0.1410556068924281,0.4167965019852239,3.08854
11,0.9239679865206402,0.22000844238075135,0.5654097798180334,0.8827938355334003,0.8390831504511095,0.946291789228495,0.19175227845119674,0.3203623661858572,3.17728
12,0.91849199663016,0.160658505698607,0.7910637593024219,0.9249837758427648,0.8684906120458425,0.9322114882116674,0.3383885053722527,0.4157410664924361,2.5332
13,0.9157540016849198,0.1965386238919376,0.6037197856154092,0.652182594866748,0.7943818580833942,0.7194093142012452,0.38614991574713264,0.17683570387495604,3.6021400000000003
14,0.9014321819713561,0.16808780075981428,0.8249488292850299,0.8893762078974206,0.8405657156791025,0.8153136338524479,0.2879092605678462,0.5039076242649646,2.51011
15,0.8727885425442289,0.18809624314056567,0.5804711255191017,0.8792209551928002,0.6798536942209217,0.7323697609484419,0.3174611802648983,0.1831180579986933,3.26001
16,0.8649957877000841,0.13938370620514984,0.9251606109724212,0.8697788522567624,0.8963082175079248,0.9195198064891822,0.6848580384482977,0.3522390310097,1.9696099999999999
17,0.8637320977253579,0.1543267201350781,0.790312466724246,0.9766443450789101,0.8732796878810045,0.922416496199961,0.5200666775380044,0.5767326732673268,1.9757
18,0.8631002527379948,0.14748839172646688,0.7736657162125389,0.9168681314762914,0.874586686174104,0.872739760799128,0.40839992027685673,0.2795647585063075,2.4148400000000003
19,0.8555181128896375,0.15880118193330517,0.8443286283882113,0.8028283519821998,0.789319678127286,0.9579532050229196,0.69908137196282,0.33206010956425597,2.24743
20,0.848357203032856,0.0015196285352469252,0.7491451828539654,0.9167397645179465,0.8870324311143623,0.8902841443566809,0.5810186443441865,0.652259134542896,1.9699400000000002
21,0.8454085930918279,0.2943858168003377,0.8045988570887709,0.771499682648353,0.7439746403316264,0.9447687874217967,0.5892989799061441,0.27066894506709555,2.4748900000000003
22,0.8363521482729567,0.3907133811734909,0.6177399699482969,0.8956875833493793,0.7027749329431845,0.6406760933510519,0.2005580620028628,0.07339046087349853,3.1913099999999996
23,0.8338247683235044,0.16310679611650486,0.9002851362383313,0.7274127639545581,1.0,0.810057784480313,0.8916308818466778,0.39082525003769414,1.8850099999999999
