,oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11,oz12,oz13,oz14,oz15,oz16,oz17,oz18,oz19,oz20,oz21,oz22,oz23,oz24,oz25,oz26,oz27,oz28,oz29,oz30,oz31,oz32,oz33
0,0.378529,0.842707,0.130031,0.773211,0.40675900000000004,0.548824,0.27677399999999996,0.12911199999999998,0.144597,0.200196,0.596608,0.313566,0.661417,0.530589,0.43484799999999996,0.378949,0.547029,0.38564899999999996,0.5152680000000001,0.658456,0.24204,0.445295,0.389701,0.614323,0.359479,0.479254,0.720877,0.664153,0.47015100000000004,0.521385,0.60024,0.435737,0.6027
1,0.3629,0.715557,0.15704200000000001,0.643882,0.300657,0.466999,0.20845100000000003,0.42463599999999996,0.127079,0.210521,0.47276899999999994,0.357362,0.589411,0.646312,0.473641,0.242115,0.596017,0.430568,0.6614979999999999,0.584696,0.257994,0.580267,0.439543,0.527591,0.308825,0.26916,0.597681,0.554757,0.41371899999999995,0.784347,0.9911719999999999,0.769256,0.09713300000000001
2,0.273364,0.685554,0.792313,0.561711,0.45468100000000006,0.561396,0.536736,0.14146,0.475103,0.256781,0.490397,0.5441060000000001,0.669107,0.420555,0.457596,0.060447,0.583838,0.401806,0.535517,0.580263,0.352116,0.621466,0.31044099999999997,0.53,0.5017020000000001,0.336061,0.740604,0.501143,0.41084499999999996,0.591078,0.310277,0.55619,0.7206
3,0.732136,0.458711,0.618436,0.933582,0.338353,0.17843699999999998,0.34189200000000003,0.497542,0.347188,0.41447799999999996,0.409518,0.559559,0.5997520000000001,0.8350139999999999,0.371141,0.632725,0.42522299999999996,0.09312899999999999,0.6300180000000001,0.325768,0.29125,0.43460200000000004,0.250875,0.6523140000000001,0.571141,0.44413,0.598448,0.6469520000000001,0.24088,0.320355,0.598128,0.227906,0.7183
4,0.258322,0.610444,0.8821610000000001,0.485597,0.466135,0.653225,0.349013,0.242403,0.52086,0.315663,0.347285,0.65394,0.651054,0.468819,0.472883,0.053836,0.491467,0.477649,0.534676,0.492742,0.261203,0.711795,0.29566,0.622236,0.524466,0.50835,0.639882,0.42759300000000006,0.259263,0.686317,0.044195,0.375805,0.6514
5,0.647001,0.813712,0.212238,0.099048,0.42686999999999997,0.430034,0.5321239999999999,0.522093,0.670758,0.067302,0.169017,0.007465,0.987017,0.682303,0.633041,0.368239,0.591132,0.42927,0.752816,0.376158,0.242817,0.601769,0.387336,0.902185,0.383511,0.45670299999999997,0.7994979999999999,0.7005779999999999,0.44920600000000005,0.41113599999999995,0.34781,0.7213109999999999,0.746067
6,0.628261,0.645961,0.633232,0.732532,0.501092,0.490059,0.681055,0.22851999999999997,0.45964499999999997,0.243687,0.20805,0.552596,0.286675,0.6089640000000001,0.519728,0.356607,0.558422,0.5317029999999999,0.46483,0.543938,0.24107399999999998,0.5449,0.410605,0.667912,0.499436,0.378125,0.767302,0.663682,0.47668999999999995,0.464937,0.338011,0.5090680000000001,0.625
7,0.375267,0.832774,0.13178499999999999,0.755307,0.401303,0.5504359999999999,0.25564000000000003,0.16356800000000002,0.13759000000000002,0.207116,0.572021,0.314155,0.653379,0.538145,0.43416400000000005,0.373417,0.548977,0.395951,0.526253,0.667291,0.27276100000000003,0.42699799999999993,0.395853,0.599517,0.34382399999999996,0.43914200000000003,0.763925,0.643319,0.481573,0.502848,0.6364310000000001,0.574769,0.5746
8,0.510204,0.205323,0.181772,0.5540069999999999,0.6616449999999999,0.305899,0.469472,0.407438,0.405729,0.061646000000000006,0.483696,0.459424,0.483025,0.344871,0.44050900000000004,0.14516500000000002,0.637297,0.263181,0.343004,0.678068,0.1928,0.446767,0.510857,0.581543,0.555561,0.180258,0.61605,0.605915,0.571396,0.6224029999999999,0.595066,0.668643,0.2704
9,0.25461999999999996,0.429993,0.288063,0.452045,0.134689,0.591318,0.527242,0.312628,0.754146,0.444851,0.69671,0.355558,0.146284,0.636131,0.5294260000000001,0.615039,0.41258999999999996,0.518756,0.317179,0.44173900000000005,0.280735,0.529388,0.504205,0.769939,0.584802,0.48119399999999996,0.7274579999999999,0.45759700000000003,0.385089,0.645558,0.5774279999999999,0.751844,0.660367
