,cars_per_hour,temperature_at_2m,wind_speed,temperature_diff_2m_25m,wind_direction,hour_of_day,day
0,0.0004937159304027605,0.35696821515892424,0.40625000000000006,0.5555555555555556,0.0368271954674221,0.782608695652174,0.14583333333333331
1,0.0005300586230051194,0.3251833740831296,0.46875,0.5222222222222223,0.18158640226628894,0.34782608695652173,0.8229166666666666
2,0.00011207502588269556,0.13447432762836187,0.4166666666666667,0.5777777777777778,0.21246458923512748,0.08695652173913043,0.109375
3,0.0004662507655268957,0.49877750611246946,0.28125,0.5666666666666667,0.4872521246458923,0.9130434782608696,0.22395833333333334
4,0.0004960306078297533,0.5647921760391198,0.5520833333333334,0.6777777777777778,0.7988668555240793,0.26086956521739135,0.08333333333333334
5,0.0005116076596583174,0.6063569682151589,0.20833333333333331,0.5444444444444445,0.5524079320113314,0.34782608695652173,0.0017361111111111119
6,0.0005026273131078726,0.5305623471882641,0.16666666666666666,0.6,0.6317280453257791,0.26086956521739135,0.16840277777777776
7,0.0004979352638490391,0.6381418092909535,0.8958333333333334,0.5777777777777778,0.6090651558073654,0.6086956521739131,0.21354166666666666
8,0.00038682071624861696,0.5647921760391198,0.17708333333333334,0.5666666666666667,0.5042492917847026,0.34782608695652173,0.1736111111111111
9,0.00048534748124363334,0.4914425427872861,0.5104166666666667,0.5666666666666667,0.10793201133144477,0.3913043478260869,0.7777777777777777
10,0.000239125237307413,0.24449877750611249,0.3229166666666667,0.5555555555555556,0.21246458923512748,0.21739130434782608,0.11458333333333331
11,0.0005677667997450707,0.5036674816625917,0.42708333333333337,0.5222222222222223,0.20708215297450425,0.6521739130434783,0.9131944444444444
12,0.00010624193845562617,0.45476772616136923,0.5625,0.6444444444444445,0.7422096317280453,0.08695652173913043,0.15451388888888887
13,0.00044917907908675236,0.34718826405867975,0.59375,0.5555555555555556,0.21529745042492918,0.8260869565217391,0.15625
14,0.0005029307540273375,0.4425427872860636,0.11458333333333334,0.5222222222222223,0.6543909348441926,0.6086956521739131,0.032986111111111105
15,0.0001458459939981844,0.4523227383863081,0.03125,0.7444444444444445,0.9521246458923514,0.13043478260869565,0.9027777777777777
16,0.0005012016423416262,0.4400977995110025,0.15625,0.5555555555555556,0.0311614730878187,0.26086956521739135,0.20486111111111108
