,Passing_Attempts,Passing_Completions,Passing_Yards,Touchdowns_by_Passing,Interceptions
0,0.18621523579201932,0.24167257264351527,0.2584515317974365,0.2986111111111111,0.13157894736842105
1,0.7831519548569126,0.9018426647767541,0.8236724877702166,0.7604166666666666,0.4429824561403509
2,0.9157597742845627,0.970942593905032,0.9499877018939082,0.9513888888888888,0.6447368421052632
3,0.49113260781942764,0.5432317505315379,0.5223962176491487,0.5104166666666666,0.4605263157894737
4,0.2928254735993551,0.29092841956059534,0.3358202836763138,0.34375,0.3114035087719298
5,0.5814187827488917,0.6017009213323884,0.5930966631138804,0.6145833333333333,0.5614035087719298
6,0.33212414349052805,0.3377037562012757,0.3377606515263316,0.2847222222222222,0.2280701754385965
7,0.5556227327690448,0.5559886605244507,0.5961028668251755,0.6979166666666666,0.6622807017543859
8,0.45062474808544944,0.45074415308291993,0.5000956519362685,0.642361111111111,0.6359649122807017
9,0.015114873035066478,0.042168674698795205,0.0,0.05555555555555555,0.06578947368421054
10,0.5985489721886337,0.634301913536499,0.612882949359132,0.4965277777777778,0.5350877192982456
11,0.34663442160419183,0.3656980864635011,0.3274575715339837,0.22916666666666663,0.1929824561403509
12,0.0,0.0,0.015659588423382775,0.0,0.0
13,0.29121322047561465,0.317859673990078,0.3155694023120439,0.3506944444444444,0.412280701754386
14,0.5614671503426039,0.5584691708008505,0.5865376731983274,0.53125,0.5043859649122807
15,0.15638855300282145,0.19844082211197733,0.16099587330217813,0.09722222222222221,0.17543859649122803
16,0.33131801692865775,0.33451452870304754,0.39097045721625534,0.3402777777777778,0.4385964912280702
17,0.4226118500604595,0.44153082919914954,0.40124620808395506,0.2569444444444444,0.26315789473684215
18,1.0,1.0,1.0,1.0,0.9999999999999999
19,0.7339782345828294,0.7579730687455706,0.752562105435763,0.5555555555555555,0.6447368421052632
20,0.8260781942765014,0.8621545003543587,0.8916946790194309,0.6944444444444444,0.8947368421052632
21,0.011890366787585649,0.01665485471296957,0.019950260993140345,0.024305555555555552,0.057017543859649106
22,0.34985892785167266,0.33345145287030475,0.32412341832691094,0.32291666666666663,0.27192982456140347
23,0.16727126158806932,0.15556343019135366,0.169713864064934,0.17708333333333331,0.17543859649122803
24,0.4659411527609835,0.4709425939050319,0.47008827307261347,0.3819444444444444,0.45175438596491224
25,0.22591696896412733,0.21261516654854717,0.3599792298652674,0.41666666666666663,0.42543859649122806
