,e,z,n
0,0.0,0.0,0.0
1,0.000579758158025509,0.0,0.0
2,0.000579758158025509,0.0,0.0
3,0.0007454033460327983,0.05555555555555555,0.0
4,0.03354315057147591,0.0,0.0
5,0.0024018552261056815,0.0,0.006622516556291391
6,0.00472088785820772,0.0,0.006622516556291391
7,0.004969355640218652,0.0,0.006622516556291391
8,0.005052178234222297,0.0,0.006622516556291391
9,0.005135000828225942,0.0,0.006622516556291391
10,0.005714758986251451,0.0,0.006622516556291391
11,0.014411131356634094,0.05555555555555555,0.006622516556291391
12,0.01689580917674342,0.05555555555555555,0.006622516556291391
13,0.012754679476561209,0.05555555555555555,0.013245033112582783
14,0.013168792446579432,0.05555555555555555,0.013245033112582783
15,0.013334437634586718,0.0,0.013245033112582783
16,0.04894815305615373,0.05555555555555555,0.013245033112582783
17,0.007122743084313403,0.0,0.019867549668874173
18,0.007205565678317047,0.1111111111111111,0.019867549668874173
19,0.012671856882557564,0.05555555555555555,0.019867549668874173
20,0.015487825078681468,0.0,0.019867549668874173
21,0.03917508696372371,0.16666666666666666,0.033112582781456956
22,0.061205896968693066,0.1111111111111111,0.033112582781456956
23,0.1296173596157032,0.2222222222222222,0.033112582781456956
24,0.04174258737783668,0.1111111111111111,0.039735099337748346
25,0.05838992877256917,0.0,0.039735099337748346
26,0.0964883220142455,0.05555555555555555,0.039735099337748346
27,0.03776710286566176,0.2222222222222222,0.046357615894039736
28,0.039340732151731,0.0,0.046357615894039736
29,0.07280106012920326,0.05555555555555555,0.046357615894039736
30,0.036938876925625315,0.05555555555555555,0.052980132450331126
31,0.04199105515984761,0.0,0.052980132450331126
32,0.04265363591187677,0.1111111111111111,0.052980132450331126
33,0.04356468444591685,0.0,0.052980132450331126
34,0.0550770250124234,0.0,0.052980132450331126
35,0.05913533211860196,0.1111111111111111,0.052980132450331126
36,0.15040583071061792,0.2222222222222222,0.052980132450331126
37,0.039340732151731,0.0,0.05960264900662252
38,0.04364750703992049,0.0,0.05960264900662252
39,0.05093589531224119,0.1111111111111111,0.05960264900662252
40,0.0550770250124234,0.05555555555555555,0.05960264900662252
41,0.07015073712108665,0.05555555555555555,0.0662251655629139
42,0.09764783833029653,0.0,0.0662251655629139
43,0.07396057644525428,0.0,0.0728476821192053
44,0.11164485671691239,0.05555555555555555,0.0728476821192053
45,0.05954944508862017,0.16666666666666666,0.07947019867549668
46,0.07917839986748386,0.0,0.07947019867549668
47,0.05648500911048536,0.0,0.08609271523178808
48,0.1418751035282425,0.05555555555555555,0.08609271523178808
49,0.06327646181878417,0.0,0.09271523178807946
50,0.08762630445585558,0.1111111111111111,0.09271523178807946
51,0.09168461156203415,0.16666666666666666,0.09271523178807946
52,0.09168461156203415,0.0,0.09271523178807946
53,0.1031969521285407,0.0,0.09933774834437085
54,0.1422063939042571,0.16666666666666666,0.09933774834437085
55,0.29219811164485676,0.05555555555555555,0.09933774834437085
56,0.09408646678813982,0.05555555555555555,0.10596026490066225
57,0.09574291866821272,0.05555555555555555,0.10596026490066225
58,0.09731654795428195,0.05555555555555555,0.10596026490066225
59,0.12092098724532054,0.2222222222222222,0.10596026490066225
60,0.12116945502733147,0.16666666666666666,0.10596026490066225
61,0.1494947821765778,0.16666666666666666,0.10596026490066225
62,0.15164816962067257,0.05555555555555555,0.10596026490066225
63,0.09855888686433661,0.0,0.11258278145695363
64,0.10965711446082493,0.1111111111111111,0.11258278145695363
65,0.1313566340897797,0.1111111111111111,0.11258278145695363
66,0.1327646181878417,0.2222222222222222,0.11258278145695363
67,0.14659599138645024,0.2222222222222222,0.11920529801324503
68,0.11835348683120757,0.16666666666666666,0.12582781456953643
69,0.1272155043895975,0.1111111111111111,0.12582781456953643
70,0.18287228756004642,0.2222222222222222,0.12582781456953643
71,0.12150074540334606,0.05555555555555555,0.1324503311258278
72,0.14096405499420245,0.16666666666666666,0.1324503311258278
73,0.10369388769256256,0.0,0.1390728476821192
74,0.12191485837336428,0.2222222222222222,0.152317880794702
75,0.1341726022859036,0.05555555555555555,0.152317880794702
76,0.13226768262381983,0.1111111111111111,0.15894039735099338
77,0.14311744243829716,0.16666666666666666,0.15894039735099338
78,0.1591850256750042,0.2222222222222222,0.15894039735099338
79,0.14162663574623158,0.2222222222222222,0.16556291390728475
80,0.19943680636077527,0.1111111111111111,0.16556291390728475
81,0.14021865164816966,0.1111111111111111,0.17218543046357615
82,0.19885704820274974,0.2222222222222222,0.17218543046357615
83,0.19264535365247643,0.1111111111111111,0.17880794701986755
84,0.2203081000496936,0.16666666666666666,0.17880794701986755
85,0.18428027165810834,0.0,0.2052980132450331
86,0.1704488984594998,0.0,0.2119205298013245
87,0.23148915024018557,0.1111111111111111,0.2119205298013245
88,0.23182044061620016,0.2777777777777778,0.2119205298013245
89,0.25815802550935896,0.2777777777777778,0.2119205298013245
90,0.19148583733642544,0.05555555555555555,0.22516556291390727
91,0.2070564850091105,0.05555555555555555,0.22516556291390727
92,0.31489150240185526,0.16666666666666666,0.22516556291390727
93,0.2140135829054166,0.05555555555555555,0.23841059602649006
94,0.2222958423057811,0.05555555555555555,0.24503311258278146
95,0.24830213682292535,0.16666666666666666,0.24503311258278146
96,0.2862348848765944,0.05555555555555555,0.24503311258278146
97,0.2212191485837337,0.1111111111111111,0.2582781456953643
98,0.2730660924300149,0.3333333333333333,0.2582781456953643
99,0.31116448567169125,0.0,0.2582781456953643
100,0.3277290044724201,0.1111111111111111,0.26490066225165565
101,0.21161172767931097,0.1111111111111111,0.271523178807947
102,0.22842471426205074,0.05555555555555555,0.27814569536423844
103,0.35091933079344045,0.1111111111111111,0.27814569536423844
104,0.2810170614543648,0.4444444444444444,0.2847682119205298
105,0.29575948318701345,0.3333333333333333,0.29139072847682124
106,0.34470763624316714,0.05555555555555555,0.29139072847682124
107,0.3209375517641213,0.3333333333333333,0.304635761589404
108,0.33336094086466794,0.2222222222222222,0.304635761589404
109,0.3433824747391089,0.05555555555555555,0.3112582781456954
110,0.3283915852244493,0.16666666666666666,0.33112582781456956
111,0.37924465794268686,0.2777777777777778,0.33112582781456956
112,0.4566837833360942,0.1111111111111111,0.3642384105960265
113,0.5283253271492464,0.2222222222222222,0.3708609271523179
114,0.4378830544972669,0.16666666666666666,0.39072847682119205
115,0.3634255424879908,0.2222222222222222,0.3973509933774835
116,0.38495941692893826,0.2777777777777778,0.3973509933774835
117,0.4126221633261554,0.1111111111111111,0.3973509933774835
118,0.4957760477058141,0.3333333333333333,0.4437086092715232
119,0.4194136160344543,0.4444444444444444,0.4503311258278146
120,0.9278615206228261,0.2777777777777778,0.4503311258278146
121,0.4747391088288886,0.0,0.4768211920529802
122,0.49585887029981784,0.3333333333333333,0.48344370860927155
123,0.45651813814808684,0.4444444444444444,0.4900662251655629
124,0.5029816133841313,0.38888888888888884,0.4900662251655629
125,0.512837502070565,0.16666666666666666,0.5165562913907285
126,0.5752029153553091,0.16666666666666666,0.5960264900662251
127,0.645519297664403,0.5,0.6490066225165563
128,0.7881398045386784,0.38888888888888884,0.6821192052980132
129,0.9932913698857051,1.0,0.8741721854304635
130,1.0,0.9444444444444444,1.0
