,price_index_for_casoline,disposable_income,price_index_for_used_cars
0,0.0034428794992175105,0.5904932169523609,0.0
1,0.0,0.5985908087075402,0.011144883485309065
2,0.0015649452269170805,0.615206646335051,0.037825059101654845
3,0.00125195618153362,0.6264591439688716,0.041877744005403617
4,0.0,0.6631612156903985,0.0557244174265451
5,0.010954616588419397,0.6947102744768114,0.05336035123269173
6,0.017527386541471013,0.7213166473866862,0.04525498142519424
7,0.026917057902973385,0.7458197497108002,0.05538669368456606
8,0.031298904538341166,0.7684299085077295,0.06484295845997978
9,0.0416275430359937,0.7855715637816805,0.06585612968591692
10,0.04444444444444445,0.8111263013986749,0.06990881458966564
11,0.04663536776212829,0.830897044904827,0.08983451536643033
12,0.05070422535211261,0.8561362919339572,0.09084768659236747
13,0.08356807511737091,0.9066147859922179,0.11482607227288077
14,0.21439749608763697,0.8882111683668104,0.13171225937183384
15,0.24851330203442884,0.8963087601219897,0.2120905099628504
16,0.2707355242566511,0.9206015353875275,0.2847011144883486
17,0.3029733959311424,0.9422652224208644,0.33502195204322865
18,0.32832550860719883,0.9794931117888317,0.3475177304964539
19,0.5452269170579029,0.9893784835419077,0.39648767308341776
20,0.8691705790297339,0.9781259859080871,0.4204660587639311
21,1.0,0.9830686717846251,0.5852752448497129
22,0.9327073552425664,0.9784414764959513,0.718676122931442
23,0.892018779342723,1.0,0.8311381290104694
24,0.8741784037558684,0.0,0.9864910503208375
25,0.8838810641627544,0.01493322115890209,0.9999999999999998
26,0.6281690140845071,0.037753707014407396,0.9442755825734548
