,hdi,gnp_per_capita
0,0.0,20
1,0.0306818181818182,15
2,0.038636363636363635,13
3,0.038636363636363635,27
4,0.0465909090909091,4
5,0.052272727272727276,31
6,0.09545454545454546,23
7,0.10454545454545458,40
8,0.1090909090909091,17
9,0.1090909090909091,28
10,0.1352272727272727,18
11,0.1363636363636364,3
12,0.13977272727272727,10
13,0.15227272727272728,7
14,0.15795454545454546,32
15,0.16136363636363638,29
16,0.17840909090909096,8
17,0.1795454545454545,43
18,0.1886363636363636,1
19,0.20227272727272727,5
20,0.21363636363636362,26
21,0.21363636363636362,58
22,0.22954545454545455,6
23,0.23409090909090913,36
24,0.2409090909090909,47
25,0.24659090909090908,42
26,0.25113636363636366,24
27,0.27045454545454545,21
28,0.2727272727272728,34
29,0.2772727272727273,37
30,0.28750000000000003,39
31,0.31477272727272726,52
32,0.3170454545454546,59
33,0.32727272727272727,60
34,0.3375,12
35,0.3488636363636364,33
36,0.36704545454545456,25
37,0.36818181818181817,14
38,0.40340909090909094,50
39,0.40340909090909094,2
40,0.40681818181818186,64
41,0.4147727272727274,30
42,0.4147727272727274,19
43,0.42386363636363633,48
44,0.4375,49
45,0.44318181818181823,9
46,0.46477272727272734,93
47,0.4761363636363637,104
48,0.49090909090909085,44
49,0.5056818181818182,11
50,0.5079545454545454,53
51,0.5227272727272728,45
52,0.5272727272727272,35
53,0.5397727272727273,41
54,0.540909090909091,63
55,0.5590909090909091,16
56,0.5602272727272728,91
57,0.6022727272727272,69
58,0.6079545454545454,56
59,0.6147727272727274,70
60,0.6181818181818183,97
61,0.6534090909090909,79
62,0.6625000000000001,51
63,0.665909090909091,107
64,0.6795454545454547,46
65,0.6818181818181819,22
66,0.6852272727272729,103
67,0.6988636363636364,82
68,0.703409090909091,78
69,0.7056818181818182,57
70,0.7125,54
71,0.7215909090909091,71
72,0.7227272727272728,76
73,0.7238636363636364,74
74,0.7295454545454546,68
75,0.7306818181818182,96
76,0.756818181818182,127
77,0.7579545454545454,55
78,0.7590909090909091,65
79,0.7590909090909091,85
80,0.7636363636363636,75
81,0.7647727272727274,67
82,0.7647727272727274,38
83,0.765909090909091,61
84,0.7772727272727273,80
85,0.7784090909090909,72
86,0.8045454545454547,62
87,0.8045454545454547,122
88,0.8465909090909092,95
89,0.8488636363636364,84
90,0.8636363636363635,81
91,0.8647727272727274,66
92,0.8715909090909091,88
93,0.8738636363636365,100
94,0.8897727272727274,94
95,0.8897727272727274,110
96,0.894318181818182,92
97,0.9022727272727273,83
98,0.9022727272727273,89
99,0.9056818181818183,90
100,0.9079545454545457,87
101,0.9090909090909092,86
102,0.9090909090909092,77
103,0.9113636363636364,99
104,0.9136363636363638,101
105,0.9261363636363635,102
106,0.9261363636363635,73
107,0.9318181818181819,111
108,0.9431818181818181,98
109,0.9511363636363637,115
110,0.9556818181818183,108
111,0.9602272727272727,129
112,0.9602272727272727,118
113,0.9602272727272727,106
114,0.9647727272727273,105
115,0.965909090909091,116
116,0.965909090909091,112
117,0.965909090909091,109
118,0.9670454545454548,120
119,0.9670454545454548,121
120,0.9704545454545455,113
121,0.9715909090909092,123
122,0.9750000000000001,119
123,0.9795454545454545,114
124,0.9852272727272728,128
125,0.9852272727272728,124
126,0.9863636363636366,117
127,0.9886363636363638,130
128,0.9897727272727272,125
129,1.0,126
