,0_Autumn,0_Spring,0_Summer,0_Winter,Unemployment_rate,Accidents
0,0.0,0.0,0.0,1.0,0.09756097560975607,40
1,0.0,0.0,0.0,1.0,0.1170731707317072,39
2,0.0,1.0,0.0,0.0,0.09756097560975607,32
3,0.0,1.0,0.0,0.0,0.1707317073170731,27
4,0.0,1.0,0.0,0.0,0.024390243902439046,31
5,0.0,0.0,1.0,0.0,0.024390243902439046,30
6,0.0,0.0,1.0,0.0,0.07317073170731703,23
7,0.0,0.0,1.0,0.0,0.04878048780487798,25
8,1.0,0.0,0.0,0.0,0.024390243902439046,24
9,1.0,0.0,0.0,0.0,0.024390243902439046,35
10,1.0,0.0,0.0,0.0,0.09756097560975607,38
11,0.0,0.0,0.0,1.0,0.14634146341463417,37
12,0.0,0.0,0.0,1.0,0.31707317073170727,22
13,0.0,0.0,0.0,1.0,0.41463414634146345,28
14,0.0,1.0,0.0,0.0,0.3902439024390244,22
15,0.0,1.0,0.0,0.0,0.5365853658536585,28
16,0.0,1.0,0.0,0.0,0.6829268292682927,20
17,0.0,0.0,1.0,0.0,0.6829268292682927,25
18,0.0,0.0,1.0,0.0,0.7073170731707318,24
19,0.0,0.0,1.0,0.0,0.5609756097560975,22
20,1.0,0.0,0.0,0.0,0.4878048780487806,20
21,1.0,0.0,0.0,0.0,0.5121951219512194,28
22,1.0,0.0,0.0,0.0,0.5365853658536585,24
23,0.0,0.0,0.0,1.0,0.5121951219512194,43
24,0.0,0.0,0.0,1.0,0.6829268292682927,29
25,0.0,0.0,0.0,1.0,0.7073170731707318,28
26,0.0,1.0,0.0,0.0,0.6097560975609756,19
27,0.0,1.0,0.0,0.0,0.5121951219512194,25
28,0.0,1.0,0.0,0.0,0.4390243902439025,21
29,0.0,0.0,1.0,0.0,0.3902439024390244,30
30,0.0,0.0,1.0,0.0,0.4878048780487806,23
31,0.0,0.0,1.0,0.0,0.3902439024390244,24
32,1.0,0.0,0.0,0.0,0.36585365853658536,28
33,1.0,0.0,0.0,0.0,0.46341463414634154,26
34,1.0,0.0,0.0,0.0,0.4878048780487806,23
35,0.0,0.0,0.0,1.0,0.7317073170731708,32
36,0.0,0.0,0.0,1.0,0.8780487804878049,29
37,0.0,0.0,0.0,1.0,0.9024390243902439,29
38,0.0,1.0,0.0,0.0,0.9756097560975611,20
39,0.0,1.0,0.0,0.0,0.8292682926829268,28
40,0.0,1.0,0.0,0.0,0.7073170731707318,25
41,0.0,0.0,1.0,0.0,0.7073170731707318,21
42,0.0,0.0,1.0,0.0,0.7560975609756097,16
43,0.0,0.0,1.0,0.0,0.7317073170731708,19
44,1.0,0.0,0.0,0.0,0.7317073170731708,19
45,1.0,0.0,0.0,0.0,0.7804878048780487,27
46,1.0,0.0,0.0,0.0,0.926829268292683,29
47,0.0,0.0,0.0,1.0,1.0,26
48,0.0,0.0,0.0,1.0,0.9756097560975611,24
49,0.0,0.0,0.0,1.0,0.926829268292683,20
50,0.0,1.0,0.0,0.0,0.9756097560975611,22
51,0.0,1.0,0.0,0.0,0.8292682926829268,21
52,0.0,1.0,0.0,0.0,0.7560975609756097,25
53,0.0,0.0,1.0,0.0,0.7317073170731708,24
54,0.0,0.0,1.0,0.0,0.6097560975609756,25
55,0.0,0.0,1.0,0.0,0.6341463414634146,26
56,1.0,0.0,0.0,0.0,0.5365853658536585,26
57,1.0,0.0,0.0,0.0,0.5609756097560975,31
58,1.0,0.0,0.0,0.0,0.46341463414634154,27
59,0.0,0.0,0.0,1.0,0.4878048780487806,39
60,0.0,0.0,0.0,1.0,0.5853658536585366,27
61,0.0,0.0,0.0,1.0,0.5609756097560975,22
62,0.0,1.0,0.0,0.0,0.5365853658536585,24
63,0.0,1.0,0.0,0.0,0.41463414634146345,27
64,0.0,1.0,0.0,0.0,0.41463414634146345,24
65,0.0,0.0,1.0,0.0,0.41463414634146345,33
66,0.0,0.0,1.0,0.0,0.41463414634146345,27
67,0.0,0.0,1.0,0.0,0.3414634146341463,30
68,1.0,0.0,0.0,0.0,0.2926829268292682,23
69,1.0,0.0,0.0,0.0,0.31707317073170727,29
70,1.0,0.0,0.0,0.0,0.3902439024390244,33
71,0.0,0.0,0.0,1.0,0.36585365853658536,40
72,0.0,0.0,0.0,1.0,0.5365853658536585,34
73,0.0,0.0,0.0,1.0,0.3414634146341463,31
74,0.0,1.0,0.0,0.0,0.36585365853658536,22
75,0.0,1.0,0.0,0.0,0.3414634146341463,24
76,0.0,1.0,0.0,0.0,0.2926829268292682,35
77,0.0,0.0,1.0,0.0,0.3414634146341463,24
78,0.0,0.0,1.0,0.0,0.3902439024390244,29
79,0.0,0.0,1.0,0.0,0.2926829268292682,25
80,1.0,0.0,0.0,0.0,0.2926829268292682,28
81,1.0,0.0,0.0,0.0,0.2682926829268293,34
82,1.0,0.0,0.0,0.0,0.19512195121951215,46
83,0.0,0.0,0.0,1.0,0.07317073170731703,40
84,0.0,0.0,0.0,1.0,0.24390243902439024,32
85,0.0,0.0,0.0,1.0,0.24390243902439024,34
86,0.0,1.0,0.0,0.0,0.2926829268292682,35
87,0.0,1.0,0.0,0.0,0.2195121951219512,37
88,0.0,1.0,0.0,0.0,0.24390243902439024,36
89,0.0,0.0,1.0,0.0,0.24390243902439024,27
90,0.0,0.0,1.0,0.0,0.2195121951219512,26
91,0.0,0.0,1.0,0.0,0.09756097560975607,31
92,1.0,0.0,0.0,0.0,0.14634146341463417,39
93,1.0,0.0,0.0,0.0,0.12195121951219512,35
94,1.0,0.0,0.0,0.0,0.12195121951219512,45
95,0.0,0.0,0.0,1.0,0.07317073170731703,35
96,0.0,0.0,0.0,1.0,0.09756097560975607,46
97,0.0,0.0,0.0,1.0,0.19512195121951215,26
98,0.0,1.0,0.0,0.0,0.14634146341463417,32
99,0.0,1.0,0.0,0.0,0.1707317073170731,27
100,0.0,1.0,0.0,0.0,0.12195121951219512,30
101,0.0,0.0,1.0,0.0,0.19512195121951215,36
102,0.0,0.0,1.0,0.0,0.1707317073170731,26
103,0.0,0.0,1.0,0.0,0.14634146341463417,33
104,1.0,0.0,0.0,0.0,0.04878048780487798,34
105,1.0,0.0,0.0,0.0,0.0,39
106,1.0,0.0,0.0,0.0,0.04878048780487798,36
107,0.0,0.0,0.0,1.0,0.14634146341463417,39
