,0_ANA,0_ARI,0_ATL,0_BAL,0_BOS,0_CAL,0_CHC,0_CHW,0_CIN,0_CLE,0_COL,0_DET,0_FLA,0_HOU,0_KCA,0_KCR,0_LAA,0_LAD,0_MIA,0_MIL,0_MIN,0_MLN,0_MON,0_NYM,0_NYY,0_OAK,0_PHI,0_PIT,0_SDP,0_SEA,0_SEP,0_SFG,0_STL,0_TBD,0_TBR,0_TEX,0_TOR,0_WSA,0_WSN,League,Year,RS,RA,W,OBP,SLG,BA,9_158,9_159,9_160,9_161,9_162,9_163,9_164,9_165,OSLG
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49633699633699646,0.3423137876386688,0.5394736842105262,0.53125,0.6157894736842107,0.5625000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4509803921568625
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4340659340659342,0.20285261489698891,0.7105263157894736,0.4479166666666665,0.46315789473684243,0.4125000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20915032679738532
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4560439560439561,0.36925515055467506,0.6973684210526315,0.3541666666666665,0.6105263157894736,0.4125000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37254901960784315
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49633699633699646,0.5293185419968305,0.381578947368421,0.39583333333333304,0.5999999999999999,0.5750000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5359477124183005
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27472527472527475,0.45483359746434227,0.2763157894736842,0.2604166666666661,0.405263157894737,0.3250000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5098039215686274
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.521978021978022,0.323296354992076,0.5921052631578948,0.42708333333333304,0.6368421052631581,0.5125000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3856209150326797
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3772893772893774,0.1838351822503962,0.7499999999999999,0.39583333333333304,0.5789473684210524,0.46250000000000036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2875816993464051
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37362637362637374,0.5911251980982568,0.36842105263157887,0.48958333333333304,0.42105263157894757,0.46250000000000036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5490196078431371
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5402930402930403,0.6624405705229794,0.3157894736842105,0.5520833333333335,0.7105263157894737,0.7500000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8104575163398691
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48168498168498164,0.3137876386687797,0.6315789473684211,0.6041666666666665,0.6368421052631581,0.6750000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.36601307189542487
