,in1,in3,in4,out1
0,0.9285714285714285,0.9230769230769231,0.14285714285714285,0.375
1,0.14285714285714285,0.6923076923076923,0.14285714285714285,0.125
2,0.8571428571428571,0.5384615384615385,0.42857142857142855,0.75
3,0.5,0.6153846153846154,0.9285714285714285,0.625
4,0.9285714285714285,0.38461538461538464,0.0,0.375
5,0.7142857142857142,0.38461538461538464,0.0,0.75
6,0.8571428571428571,0.7692307692307693,0.42857142857142855,0.5
7,0.07142857142857142,0.7692307692307693,0.5,0.25
8,0.5714285714285714,0.7692307692307693,0.14285714285714285,0.25
9,0.5,0.5384615384615385,0.0,0.125
10,1.0,1.0,1.0,1.0
11,0.9285714285714285,0.9230769230769231,0.14285714285714285,0.625
12,1.0,1.0,1.0,0.875
13,0.5,0.5384615384615385,0.0,0.125
14,0.14285714285714285,0.5384615384615385,0.3571428571428571,0.5
15,0.6428571428571428,0.7692307692307693,0.3571428571428571,0.375
16,0.8571428571428571,0.38461538461538464,0.9285714285714285,0.5
17,0.6428571428571428,0.7692307692307693,0.3571428571428571,0.25
18,0.21428571428571427,0.0,1.0,0.125
19,0.8571428571428571,0.3076923076923077,0.7142857142857142,0.25
20,0.6428571428571428,0.5384615384615385,0.7142857142857142,0.625
21,0.3571428571428571,0.0,0.7857142857142857,0.625
22,0.8571428571428571,0.9230769230769231,0.5,0.875
23,0.7142857142857142,0.46153846153846156,1.0,0.125
24,0.8571428571428571,0.3076923076923077,0.7142857142857142,0.375
25,0.5714285714285714,0.46153846153846156,0.07142857142857142,0.75
26,0.7142857142857142,1.0,0.2857142857142857,0.375
27,0.6428571428571428,0.5384615384615385,0.7142857142857142,0.625
28,0.0,0.5384615384615385,0.14285714285714285,0.0
29,0.8571428571428571,0.6923076923076923,1.0,0.375
30,0.7857142857142857,0.7692307692307693,0.07142857142857142,0.875
31,0.5714285714285714,0.46153846153846156,0.07142857142857142,0.5
32,0.8571428571428571,0.9230769230769231,0.5,0.875
33,0.14285714285714285,0.15384615384615385,0.6428571428571428,1.0
34,0.14285714285714285,0.38461538461538464,0.07142857142857142,0.375
35,0.9285714285714285,0.38461538461538464,0.0,0.25
36,0.14285714285714285,0.15384615384615385,0.6428571428571428,0.25
37,0.7142857142857142,0.07692307692307693,0.42857142857142855,0.375
38,0.8571428571428571,0.7692307692307693,0.42857142857142855,0.75
39,0.9285714285714285,0.9230769230769231,0.14285714285714285,0.375
40,0.5714285714285714,0.46153846153846156,0.07142857142857142,0.625
41,0.8571428571428571,0.38461538461538464,0.9285714285714285,0.125
42,1.0,0.3076923076923077,0.07142857142857142,0.25
43,0.5714285714285714,0.3076923076923077,0.3571428571428571,0.0
44,0.9285714285714285,0.9230769230769231,0.14285714285714285,0.25
45,0.07142857142857142,0.9230769230769231,0.2857142857142857,0.0
46,0.7142857142857142,1.0,0.2857142857142857,0.5
47,1.0,0.46153846153846156,0.0,0.25
48,0.14285714285714285,0.6923076923076923,0.14285714285714285,0.125
49,0.9285714285714285,0.38461538461538464,0.0,0.25
50,0.21428571428571427,0.38461538461538464,0.6428571428571428,0.25
51,0.3571428571428571,0.23076923076923078,0.8571428571428571,0.0
52,0.9285714285714285,0.9230769230769231,0.14285714285714285,0.5
53,0.8571428571428571,0.3076923076923077,0.7142857142857142,0.25
54,0.14285714285714285,0.6923076923076923,0.14285714285714285,0.25
55,0.07142857142857142,0.9230769230769231,0.42857142857142855,0.125
56,0.14285714285714285,0.38461538461538464,0.07142857142857142,0.25
57,0.8571428571428571,0.5384615384615385,0.42857142857142855,0.625
58,0.5,0.46153846153846156,0.2857142857142857,0.625
59,0.14285714285714285,0.15384615384615385,0.6428571428571428,0.5
60,0.5,0.6153846153846154,0.9285714285714285,0.625
61,0.9285714285714285,0.15384615384615385,0.5714285714285714,0.625
62,0.07142857142857142,0.9230769230769231,0.42857142857142855,0.75
63,0.14285714285714285,0.38461538461538464,0.07142857142857142,0.0
64,1.0,0.46153846153846156,0.0,0.125
65,0.0,0.5384615384615385,0.14285714285714285,0.25
66,0.3571428571428571,0.23076923076923078,0.8571428571428571,0.375
67,1.0,1.0,1.0,1.0
68,0.9285714285714285,0.38461538461538464,0.0,0.625
69,0.8571428571428571,0.3076923076923077,0.7142857142857142,0.5
70,0.3571428571428571,0.0,0.7857142857142857,0.625
71,0.0,0.5384615384615385,0.14285714285714285,0.125
72,1.0,1.0,1.0,1.0
73,0.7142857142857142,0.46153846153846156,1.0,0.375
74,0.5714285714285714,0.46153846153846156,0.07142857142857142,0.5
75,0.7142857142857142,0.07692307692307693,0.42857142857142855,0.625
76,0.07142857142857142,0.9230769230769231,0.2857142857142857,0.125
77,0.9285714285714285,0.15384615384615385,0.5714285714285714,0.625
78,0.8571428571428571,0.3076923076923077,0.7142857142857142,0.625
