,col_2,col_3,col_4,col_5
0,0.47826086956521746,0.7826086956521741,0.47619047619047616,4.3
1,0.47826086956521746,0.34782608695652173,0.47619047619047616,4.6
2,0.5,0.6086956521739129,0.47619047619047616,4.7
3,0.4347826086956522,0.7826086956521741,0.38095238095238104,4.1
4,0.3478260869565218,0.8695652173913044,0.33333333333333337,4.1
5,0.30434782608695654,0.6086956521739129,0.04761904761904756,5.2
6,0.39130434782608703,0.26086956521739113,0.4285714285714285,5.0
7,0.47826086956521746,0.4782608695652171,0.4285714285714285,4.4
8,0.6304347826086957,0.826086956521739,0.5238095238095238,4.2
9,0.5652173913043479,0.9565217391304348,0.2857142857142857,5.1
10,0.5217391304347826,0.9999999999999998,0.23809523809523803,5.1
11,0.45652173913043487,0.6086956521739129,0.1428571428571428,4.7
12,0.6521739130434783,0.6521739130434783,0.38095238095238104,4.4
13,0.5434782608695653,0.30434782608695654,0.19047619047619047,3.9
14,0.5869565217391305,0.7826086956521741,0.8571428571428571,5.4
15,0.47826086956521746,0.7391304347826086,0.8571428571428571,5.9
16,0.5217391304347826,0.17391304347826053,0.6190476190476192,4.2
17,0.5869565217391305,0.30434782608695654,0.38095238095238104,4.1
18,0.673913043478261,0.4347826086956521,0.38095238095238104,4.1
19,0.5434782608695653,0.3913043478260867,0.23809523809523803,3.6
20,0.5217391304347826,0.9999999999999998,0.23809523809523803,3.1
21,0.5,0.826086956521739,0.19047619047619047,4.8
22,0.5217391304347826,0.6086956521739129,0.6190476190476192,5.1
23,0.41304347826086957,0.4347826086956521,0.7619047619047618,5.1
24,0.7173913043478262,0.4782608695652171,0.4285714285714285,4.5
25,0.8260869565217391,0.7826086956521741,0.2857142857142857,4.6
26,0.8043478260869567,0.6086956521739129,0.2857142857142857,5.8
27,0.7608695652173914,0.6521739130434783,0.7142857142857143,5.0
28,0.673913043478261,0.5652173913043479,0.7142857142857143,5.1
29,0.5869565217391305,0.13043478260869557,0.6190476190476192,4.5
30,0.8913043478260869,0.0,0.6190476190476192,4.2
31,0.8695652173913044,0.4782608695652171,0.4285714285714285,6.0
32,0.7391304347826088,0.9565217391304348,0.5714285714285715,5.6
33,0.6956521739130436,0.7826086956521741,0.47619047619047616,5.4
34,0.8043478260869567,0.5217391304347829,0.19047619047619047,5.0
35,0.7826086956521741,0.30434782608695654,0.1428571428571428,4.4
36,0.8913043478260869,0.4347826086956521,0.04761904761904756,4.6
37,0.4347826086956522,0.21739130434782616,0.0,5.7
38,1.0,0.7826086956521741,0.33333333333333337,5.2
39,0.8913043478260869,0.5217391304347829,0.9047619047619045,5.0
40,0.6956521739130436,0.4782608695652171,0.9999999999999999,4.4
41,0.6304347826086957,0.34782608695652173,0.9999999999999999,5.7
42,0.5869565217391305,0.5217391304347829,0.8095238095238094,5.7
43,0.6521739130434783,0.5217391304347829,0.5714285714285715,4.8
44,0.0,0.34782608695652173,0.33333333333333337,3.4
45,0.0,0.21739130434782616,0.9523809523809522,5.5
46,0.0,0.5217391304347829,0.7619047619047618,5.5
47,0.0,0.9565217391304348,0.7142857142857143,5.6
