,cylinders,displacement,horsepower,weight,acceleration,model,origin,class
0,1.0,0.6175710594315246,0.4565217391304348,0.5361497022965693,0.23809523809523803,0.0,0.0,0.2393617021276596
1,1.0,0.7286821705426357,0.6467391304347826,0.5897363198185427,0.20833333333333337,0.0,0.0,0.15957446808510636
2,1.0,0.6459948320413437,0.5652173913043478,0.5168698610717324,0.1785714285714286,0.0,0.0,0.2393617021276596
3,1.0,0.6098191214470284,0.5652173913043478,0.5160192798412249,0.23809523809523803,0.0,0.0,0.18617021276595744
4,1.0,0.6046511627906976,0.5108695652173912,0.5205557130705982,0.14880952380952384,0.0,0.0,0.2127659574468085
5,1.0,0.9328165374677002,0.826086956521739,0.7734618656081657,0.11904761904761907,0.0,0.0,0.15957446808510636
6,1.0,0.9974160206718348,0.9456521739130435,0.7771477176070315,0.059523809523809534,0.0,0.0,0.1329787234042553
7,1.0,0.9612403100775193,0.9184782608695652,0.7652395803799262,0.029761904761904767,0.0,0.0,0.1329787234042553
8,1.0,1.0,0.9728260869565217,0.797278140062376,0.11904761904761907,0.0,0.0,0.1329787234042553
9,1.0,0.8320413436692506,0.7826086956521738,0.6342500708817692,0.029761904761904767,0.0,0.0,0.15957446808510636
10,1.0,0.813953488372093,0.6739130434782609,0.5528777998298838,0.11904761904761907,0.0,0.0,0.15957446808510636
11,1.0,0.702842377260982,0.6195652173913043,0.5659200453643324,0.0,0.0,0.0,0.1329787234042553
12,1.0,0.8578811369509045,0.5652173913043478,0.6090161610433796,0.0892857142857143,0.0,0.0,0.15957446808510636
13,1.0,1.0,0.9728260869565217,0.4176353841791891,0.11904761904761907,0.0,0.0,0.1329787234042553
14,0.19999999999999996,0.11627906976744184,0.2663043478260869,0.21519705131840094,0.41666666666666663,0.0,1.0,0.39893617021276595
15,0.6000000000000001,0.3359173126614987,0.2663043478260869,0.3459030337397222,0.4464285714285714,0.0,0.0,0.3457446808510638
