,0_Aust_Credit,0_BT,0_Belgian,0_CUT,0_Chromosone,0_Credit,0_DNA,0_Diabetes,0_Digits,0_Faults,0_German_Credit,0_Head,0_Heart,0_KlDigits,0_Letters,0_NewBelgian,0_SatImage,0_Segment,0_Shuttle,0_Technical,0_TseTse,0_Vehicle,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,fract1,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,18_Ac2,18_Alloc80,18_BackProp,18_Bayes,18_BayesTree,18_C4_5,18_CART,18_Cal5,18_Cascade,18_Castle,18_Cn2,18_Default,18_Dipol92,18_Discrim,18_ITrule,18_IndCART,18_KNN,18_Kohonen,18_LVQ,18_LogDisc,18_NewId,18_QuaDisc,18_RBF,18_Smart,class
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032331201727431276
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045262021426791796
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014874179885391578
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012930819699360517
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025861639398721035
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015513661656008638
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.052404285358359e-05
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005618719375467153
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021287379624936646,0.007275246838732028,0.04597701149425287,0.0,0.09302325581395349,0.0,0.07901550048754241,0.08052168982137796,0.5514462809917355,1.0,0.27387765094714933,0.07260156008746935,0.15293938205429902,0.31304629329880224,0.07275111865452863,0.045332168665171355,0.11563081930081578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001099576447138942
