,P85,P75,RMT85,SS82,S82,ME84,REV84,REG,CL
0,0.046153846153846156,0.034482758620689655,0.03985669502910882,0.42105263157894735,0.2571428571428571,0.041832796742073734,0.041810851671426175,0.0,1
1,0.024615384615384615,0.016491754122938528,0.01761456933870727,0.10526315789473684,0.1428571428571429,0.0167160614912262,0.028355451033092557,0.0,1
2,0.03538461538461539,0.0239880059970015,0.02612330198537095,0.15789473684210525,0.1428571428571429,0.028933285004584124,0.09546447169494374,0.0,1
3,0.024615384615384615,0.016491754122938528,0.020600089565606806,0.2894736842105263,0.1428571428571429,0.018890855205645932,0.07318998824122291,0.0,1
4,0.08153846153846153,0.07196401799100449,0.07687714584266307,0.5,0.4285714285714286,0.08055265346154666,0.08123635141945239,0.0,1
5,0.02,0.016491754122938528,0.016868189281982384,0.10526315789473684,0.1428571428571429,0.015884522718065713,0.030404837896858727,0.0,2
6,0.10307692307692308,0.08695652173913043,0.08986415882967606,0.5,0.4285714285714286,0.08942240037525852,0.11296825130186461,0.0,2
7,0.09692307692307692,0.07496251874062967,0.07404090162710851,0.631578947368421,0.4285714285714286,0.08895332722116799,0.08229464135729884,0.0,2
8,0.013846153846153845,0.011994002998500747,0.011195700850873264,0.10526315789473684,0.0,0.012387795569390844,0.010146144800940702,0.0,2
9,0.0876923076923077,0.06896551724137931,0.06657710105985967,0.5526315789473684,0.4285714285714286,0.07950789961834502,0.09608600705526626,0.0,2
10,0.04461538461538461,0.037481259370314844,0.038214658904314074,0.3157894736842105,0.19999999999999996,0.03880514274748939,0.04900050394758946,0.0,3
11,0.026153846153846156,0.014992503748125937,0.020002985520226897,0.3421052631578947,0.1428571428571429,0.02428519647768704,0.026070888627582733,0.0,3
12,0.07692307692307691,0.053973013493253376,0.054485744140916545,0.13157894736842102,0.2857142857142857,0.05558516875972794,0.09380144464975643,0.0,3
13,0.038461538461538464,0.034482758620689655,0.032840722495894904,0.0,0.19999999999999996,0.031470544338073815,0.05929783302536537,0.0,3
14,0.06923076923076922,0.05847076461769115,0.059859680549335714,0.2631578947368421,0.2857142857142857,0.05991343468156329,0.07762472702838906,0.0,3
15,1.0,0.9999999999999999,0.9317808628153454,0.868421052631579,1.0,0.9626873627427986,1.0000000000000002,0.0,4
16,0.11692307692307692,0.11094452773613192,0.08822212270488132,0.6052631578947368,0.4285714285714286,0.10997633312722543,0.11221232991768856,0.0,4
17,0.08615384615384615,0.07496251874062967,0.07628004179728316,0.39473684210526316,0.4285714285714286,0.0814694782627236,0.103846799932807,0.0,4
18,0.03692307692307692,0.03598200899550225,0.03418420659799969,0.368421052631579,0.1428571428571429,0.03076693460693802,0.03126154879892492,0.0,4
19,0.07076923076923076,0.07646176911544227,0.05836692043588595,0.5,0.4285714285714286,0.06539306198162086,0.06096086007055267,0.0,4
20,0.05384615384615385,0.047976011994003,0.04746977160770263,0.07894736842105265,0.2857142857142857,0.04012707618174453,0.0687216529480934,0.0,5
21,0.004615384615384615,0.002998500749625187,0.005075384385729212,0.10526315789473684,0.0,0.0027931174175390714,0.010297329077775912,0.0,5
22,0.06,0.05247376311844078,0.04015524705179877,0.4473684210526315,0.37142857142857144,0.045222916355728025,0.12838904753905594,0.0,5
23,0.039999999999999994,0.034482758620689655,0.034034930586654716,0.39473684210526316,0.2571428571428571,0.03680092108910258,0.03984545607256846,0.0,5
24,0.027692307692307693,0.022488755622188904,0.02134646962233169,0.4473684210526315,0.19999999999999996,0.02225965331229611,0.03430203258861079,0.0,5
25,0.016923076923076923,0.007496251874062968,0.011344976862218241,0.1842105263157895,0.05714285714285716,0.010788682544082214,0.018730052074584242,0.14285714285714285,6
26,0.009230769230769232,0.008995502248875561,0.007911628601283773,0.3157894736842105,0.0,0.006758917720304471,0.023584747186292627,0.14285714285714285,6
27,0.026153846153846156,0.02548725637181409,0.018360949395432154,0.5,0.2571428571428571,0.019956930555851685,0.0321182597009911,0.14285714285714285,6
28,0.23076923076923078,0.20089955022488756,0.18749067024929095,0.7368421052631579,0.7142857142857142,0.16496449969083812,0.2159919368385688,0.14285714285714285,6
29,0.046153846153846156,0.041979010494752625,0.03269144648454993,0.42105263157894735,0.2857142857142857,0.035478987654847444,0.04928607424827818,0.14285714285714285,6
30,0.027692307692307693,0.022488755622188904,0.021197193610986712,0.39473684210526316,0.2571428571428571,0.021385471525127393,0.11313623383168152,0.14285714285714285,7
31,0.01076923076923077,0.008995502248875561,0.006269592476489027,0.2631578947368421,0.05714285714285716,0.0059913434681563285,0.010162943053922392,0.14285714285714285,7
32,0.09538461538461539,0.08695652173913043,0.06971189729810419,0.6578947368421052,0.4285714285714286,0.06569156307967847,0.1014950445153704,0.14285714285714285,7
33,0.015384615384615385,0.014992503748125937,0.013434841021047916,0.2894736842105263,0.0,0.012494403104411418,0.024911809171846128,0.14285714285714285,7
34,0.021538461538461538,0.02098950524737631,0.015972533213912524,0.368421052631579,0.19999999999999996,0.014882411888872304,0.0249622039307912,0.14285714285714285,7
35,0.04461538461538461,0.043478260869565216,0.031198686371100164,0.5789473684210527,0.2857142857142857,0.03443423381164581,0.04312111540399799,0.14285714285714285,7
36,0.13230769230769232,0.13193403298350825,0.10434393193013881,1.0,0.6857142857142857,0.1134730602759003,0.10792877540735764,0.14285714285714285,7
37,0.033846153846153845,0.026986506746626688,0.023585609792506342,0.368421052631579,0.2571428571428571,0.02373083729558005,0.03831681505123467,0.14285714285714285,7
38,0.004615384615384615,0.002998500749625187,0.002388416181519629,0.23684210526315785,0.1428571428571429,0.0017910065883456642,0.005173861918360491,0.14285714285714285,8
39,0.001538461538461539,0.0,0.0004478280340349302,0.07894736842105265,0.05714285714285716,8.52860280164602e-05,0.0048714933646900735,0.14285714285714285,8
40,0.01076923076923077,0.010494752623688156,0.006568144499178982,0.2894736842105263,0.2571428571428571,0.006332487580222169,0.0174701831009575,0.14285714285714285,8
41,0.004615384615384615,0.002998500749625187,0.002388416181519629,0.39473684210526316,0.1428571428571429,0.0017483635743374337,0.006635309927767514,0.14285714285714285,8
