,Age,Location,Coherence,Maturity,Delay,Prosecute,Quality
0,0.0,0.6666666666666667,0.7574931880108993,0.66,0.43,0.0,0.0
1,0.0,0.3333333333333333,0.1634877384196185,0.15750000000000003,0.25,0.0,0.05057096247960857
2,0.0,0.0,0.683923705722071,0.6625,1.0,0.0,0.06362153344208799
3,0.0,0.3333333333333333,0.8664850136239783,0.7825000000000001,0.37,0.0,0.11296900489396411
4,0.0,0.6666666666666667,0.6185286103542235,0.535,0.39,0.0,0.16231647634584012
5,0.0,0.6666666666666667,0.3514986376021798,0.2875,0.68,1.0,0.22022838499184327
6,0.0,1.0,0.9482288828337875,0.8324999999999999,0.7,0.0,0.22675367047308315
7,0.0,0.3333333333333333,0.5858310626702998,0.525,0.39,0.0,0.27365415986949426
8,0.0,0.0,0.4441416893732971,0.43500000000000005,0.11,0.0,0.23858075040783033
9,0.0,0.6666666666666667,1.0000000000000002,1.0,0.37,0.0,0.311378466557912
10,0.0,0.3333333333333333,0.8937329700272478,0.8075,0.37,1.0,0.314437194127243
11,0.0,0.6666666666666667,0.662125340599455,0.64,0.45,0.0,0.27324632952691674
12,0.0,0.3333333333333333,0.6512261580381472,0.5875,0.29,1.0,0.33503262642740617
13,0.0,0.0,0.55858310626703,0.5225,0.8,0.0,0.34951060358890684
14,0.0,1.0,0.8201634877384196,0.785,0.26999999999999996,0.0,0.35725938009787916
15,1.0,0.6666666666666667,0.569482288828338,0.5075,0.49,1.0,0.3652120717781402
16,0.0,0.6666666666666667,0.5994550408719347,0.525,0.69,0.0,0.3727569331158238
17,0.0,0.0,0.4359673024523161,0.41000000000000003,0.79,0.0,0.41557911908645995
18,1.0,0.6666666666666667,0.5422343324250681,0.505,0.69,0.0,0.4186378466557912
19,0.0,0.3333333333333333,0.7057220708446867,0.6375,0.41,0.0,0.431484502446982
20,1.0,0.0,0.13896457765667575,0.057499999999999996,0.53,1.0,0.43556280587275675
21,0.0,0.6666666666666667,0.47956403269754777,0.44000000000000006,0.43,0.0,0.43739804241435554
22,1.0,0.0,0.4713896457765667,0.4325,0.25,0.0,0.4559543230016312
23,1.0,0.0,0.9809264305177112,0.92,0.72,0.0,0.4610522022838499
24,0.0,0.6666666666666667,0.6321525885558584,0.5225,0.86,1.0,0.4681892332789559
25,0.0,0.0,0.4359673024523161,0.45999999999999996,0.26999999999999996,0.0,0.48225938009787916
26,1.0,0.3333333333333333,0.47411444141689374,0.4325,0.54,1.0,0.48450244698205536
27,1.0,1.0,0.6076294277929155,0.7325,0.53,1.0,0.49388254486133754
28,0.0,0.0,0.5340599455040873,0.47250000000000003,0.73,0.0,0.5020391517128873
29,0.0,0.6666666666666667,0.6975476839237057,0.5275,0.59,0.0,0.5042822185970637
30,1.0,0.3333333333333333,0.38147138964577665,0.35250000000000004,0.74,1.0,0.5114192495921694
31,1.0,1.0,0.37602179836512273,0.35,0.43,0.0,0.5205954323001631
32,1.0,0.0,0.3651226158038148,0.595,0.88,1.0,0.5250815660685153
33,1.0,0.3333333333333333,0.7874659400544959,0.75,0.9,0.0,0.5273246329526915
34,0.0,0.6666666666666667,0.7084468664850136,0.685,0.42,0.0,0.5444535073409462
35,0.0,0.0,0.3460490463215259,0.3075,0.43,1.0,0.5458809135399674
36,1.0,1.0,0.14441416893732972,0.235,0.09999999999999999,0.0,0.5652528548123978
37,1.0,0.3333333333333333,0.5149863760217984,0.4575,0.21000000000000002,1.0,0.5683115823817291
38,1.0,0.6666666666666667,0.8392370572207086,0.185,0.61,1.0,0.5705546492659053
39,0.0,0.0,0.3978201634877385,0.38249999999999995,0.95,0.0,0.5797308319738987
40,0.0,0.3333333333333333,0.37602179836512273,0.265,0.53,0.0,0.5858482871125612
41,1.0,0.6666666666666667,0.4168937329700273,0.4175,0.64,1.0,0.5968597063621532
42,1.0,0.0,0.2506811989100818,0.26249999999999996,0.06,1.0,0.6027732463295268
43,1.0,0.3333333333333333,0.40599455040871935,0.37750000000000006,0.73,0.0,0.6164355628058726
44,1.0,0.6666666666666667,0.3051771117166212,0.27749999999999997,0.69,1.0,0.617047308319739
45,0.0,1.0,0.47683923705722064,0.4525,0.06999999999999999,1.0,0.6313213703099507
46,0.0,0.0,0.5231607629427794,0.5075,0.37,0.0,0.6455954323001629
47,1.0,1.0,0.2343324250681199,0.6175,0.66,1.0,0.6488580750407831
48,1.0,0.6666666666666667,0.7057220708446867,0.645,0.33999999999999997,1.0,0.6625203915171287
49,1.0,0.3333333333333333,0.30790190735694833,0.48250000000000004,0.02,0.0,0.6723083197389885
50,1.0,0.0,0.7138964577656676,0.7325,0.5,1.0,0.6977977161500815
51,1.0,1.0,0.3514986376021798,0.3375,0.17,1.0,0.7000407830342577
52,1.0,0.0,0.08446866485013627,0.10999999999999999,0.75,0.0,0.70942088091354
53,1.0,0.0,0.26975476839237056,0.2825,0.23,1.0,0.7234910277324633
54,1.0,1.0,0.1989100817438692,0.185,0.84,0.0,0.7296084828711256
55,0.0,1.0,0.20435967302452318,0.1975,0.43,1.0,0.7410277324632952
56,1.0,0.3333333333333333,0.40599455040871935,0.39,0.0,1.0,0.7463295269168024
57,1.0,1.0,0.2179836512261581,0.1875,0.26999999999999996,1.0,0.7603996737357259
58,1.0,1.0,0.1307901907356948,0.1875,0.43,1.0,0.7691680261011418
59,1.0,0.6666666666666667,0.55858310626703,0.275,0.12000000000000001,0.0,0.7787520391517126
60,0.0,1.0,0.0,0.0,0.23,1.0,0.7850734094616638
61,1.0,0.0,0.1989100817438692,0.16749999999999998,0.19,0.0,0.8132137030995104
62,1.0,1.0,0.26430517711171664,0.24,0.15000000000000002,1.0,0.8170880913539966
63,1.0,1.0,0.5095367847411444,0.49,0.17,1.0,0.8415579119086458
64,1.0,0.3333333333333333,0.6021798365122617,0.6125,0.2,1.0,0.8544045676998369
65,1.0,0.3333333333333333,0.5095367847411444,0.47250000000000003,0.12000000000000001,0.0,0.8599102773246328
66,0.0,1.0,0.5667574931880109,0.5075,0.24000000000000002,1.0,0.8866231647634584
67,1.0,0.6666666666666667,0.49863760217983655,0.48750000000000004,0.55,0.0,0.9045676998368677
