,lung,heart,liver,spleen,kidney
0,0.48695905755872604,0.6583894674744653,0.4730378082977389,0.7359347039686462,0.575148414893003
1,0.6158600287710955,0.7617850130786763,0.49892945988784876,0.9047254206367691,0.5469411448230946
2,0.41367844618046423,0.5998184627838186,0.3747760873475342,0.07764426980243096,0.08396944902162162
3,0.31439261271309626,0.6010109406335424,0.5366480411149714,0.31395266098492064,0.49891254983919675
4,0.6145815639510501,0.7595403488909607,0.5766370847383993,0.33945979063688564,0.6481170285873602
5,0.6042854501534008,0.5457360850110444,0.585379107793812,0.4126027095952036,0.5669791974105945
6,0.034272778244602425,0.2000556957301577,0.07934581662146944,0.0693922808768508,0.0
7,0.0008267556155496236,0.004138599596100745,0.00849566324517892,0.058139428897910225,0.0027227094662073403
8,0.13198026008228472,0.0,0.07466526870455847,0.10315053673862003,0.27205639711479923
9,0.16159314303924385,0.08164965982815697,0.11796589012842876,0.17179296756860096,0.15268954686490888
10,0.15054468163144444,0.1322948955634914,0.1440010592894885,0.15303820176723953,0.3742124562868997
11,0.08079657151962191,0.00673399256314694,0.032540337452359736,0.03375840589929548,0.0
12,0.1606912278222806,0.06979502708678365,0.0890242377377938,0.16954214210901825,0.17708502368212697
13,0.09868455665605916,0.11090044002432659,0.08531008954486755,0.09977491745404173,0.20420647721691176
14,0.2492292382875035,0.07386348092701828,0.14251518365417085,0.11665406413961714,0.2779374495618073
15,0.4490786184462707,0.09434604163992366,0.0892262441278596,0.14778700087625668,0.15214500497166739
16,0.18068368179829877,0.06081637033592102,0.09370464141594001,0.18267083826003433,0.1513826463211293
17,0.16129250463358943,0.371000902775878,0.07724000277515386,0.09377341640361024,0.2829472349796288
18,0.1728670832512841,0.2676762043850918,0.08078827638859021,0.136533811312882,0.2071470034404156
19,0.19338565443719738,0.06432365812922675,0.10822970138681245,0.17329326781244575,0.2830561433582771
20,0.2508075899171892,0.130821834690303,0.1348920928164912,0.053638490656994456,0.411350213405968
21,0.1801575645884035,0.43560654684368655,0.10705408333452329,0.1406598432850536,0.42822992301266727
22,0.16189378144489827,0.23232274342857023,0.07584081463746523,0.058889804076121974,0.24254222650111157
23,0.2257794426464598,0.3429426004294323,0.48180716459907613,0.26406582116269556,0.5975835408945517
24,0.3398717175923074,0.2450892709962031,0.15655697164366858,0.14703636313237395,0.2646506273667154
25,0.5474647914847178,0.33999647868305555,0.23592384712479494,0.19804930960794925,0.20910735425608495
26,0.3908299273507293,0.7687995886652876,0.42308078423770323,0.5423859199984156,0.54149572589068
27,0.41510647860732275,0.1816073619373697,0.0728552164454116,0.09114775969404647,0.3032041934082116
28,0.3791050295302074,0.3836972845876447,0.8061221855230726,0.33758357137099454,0.8423006677172696
29,0.32867293698168065,0.3752103495854036,0.27149305439864047,0.2006748537893684,0.4000237420265452
30,0.6435180104952868,0.6704552389409957,0.46873913251056676,0.4062257396353045,0.5814640117708175
31,0.5188289833461356,0.5573802804848196,0.40104160581593784,0.18417087593820808,0.6685918037732398
32,0.49635400773542626,0.6120939700603885,0.45421508221104767,0.33795904028046214,0.8927252470314296
