,seeded,1_AUTUMN,1_SPRING,1_SUMMER,1_WINTER,NC,SC,NWC,TE
0,0.0,1.0,0.0,0.0,0.0,0.1751592356687898,0.4450000000000001,0.42179487179487185,0.2816666666666666
1,1.0,1.0,0.0,0.0,0.0,0.11571125265392783,0.19250000000000006,0.19871794871794873,0.12333333333333332
2,0.0,0.0,0.0,0.0,1.0,0.2537154989384289,0.085,0.25897435897435905,0.135
3,1.0,0.0,0.0,0.0,1.0,0.31422505307855625,0.31250000000000006,0.5141025641025642,0.24
4,0.0,0.0,0.0,0.0,1.0,0.4416135881104034,0.5350000000000001,0.7641025641025643,0.41333333333333333
5,1.0,0.0,0.0,0.0,1.0,0.2929936305732484,0.21250000000000005,0.5294871794871796,0.13999999999999999
6,1.0,0.0,0.0,0.0,1.0,0.11464968152866244,0.20750000000000005,0.4371794871794873,0.06166666666666666
7,0.0,0.0,0.0,0.0,1.0,0.027600849256900213,0.11250000000000002,0.11025641025641028,0.06166666666666666
8,1.0,0.0,1.0,0.0,0.0,0.26857749469214437,0.26500000000000007,0.4628205128205129,0.22166666666666668
9,0.0,0.0,1.0,0.0,0.0,0.2929936305732484,0.7700000000000002,0.6435897435897436,0.5633333333333332
10,0.0,0.0,1.0,0.0,0.0,0.11358811040339704,0.15500000000000003,0.24487179487179486,0.11499999999999999
11,1.0,0.0,1.0,0.0,0.0,0.15074309978768577,0.26500000000000007,0.1512820512820513,0.23666666666666664
12,0.0,0.0,1.0,0.0,0.0,0.025477707006369428,0.10500000000000002,0.11538461538461539,0.07333333333333333
13,1.0,0.0,1.0,0.0,0.0,0.07430997876857749,0.16250000000000003,0.11538461538461539,0.12666666666666665
14,0.0,0.0,0.0,1.0,0.0,0.1029723991507431,0.4100000000000001,0.27820512820512827,0.1883333333333333
15,1.0,0.0,0.0,1.0,0.0,0.11252653927813165,0.2775,0.18205128205128207,0.14666666666666667
16,0.0,0.0,0.0,1.0,0.0,0.013800424628450107,0.06250000000000001,0.03974358974358974,0.028333333333333335
17,1.0,0.0,0.0,1.0,0.0,0.010615711252653929,0.07,0.03846153846153847,0.041666666666666664
18,1.0,0.0,0.0,1.0,0.0,0.04033970276008493,0.14,0.08076923076923079,0.13
19,0.0,0.0,0.0,1.0,0.0,0.04777070063694268,0.10250000000000002,0.05128205128205129,0.06666666666666667
20,0.0,1.0,0.0,0.0,0.0,0.044585987261146494,0.11250000000000002,0.06282051282051283,0.08666666666666667
21,1.0,1.0,0.0,0.0,0.0,0.237791932059448,1.0000000000000002,0.317948717948718,0.45499999999999996
22,1.0,1.0,0.0,0.0,0.0,0.055201698513800426,0.32500000000000007,0.27435897435897444,0.15
23,0.0,1.0,0.0,0.0,0.0,0.09978768577494691,0.3925000000000001,0.21666666666666667,0.27
24,1.0,1.0,0.0,0.0,0.0,0.12632696390658174,0.20750000000000005,0.2910256410256411,0.155
25,0.0,1.0,0.0,0.0,0.0,0.08067940552016986,0.17250000000000001,0.158974358974359,0.105
