,City_MPG,Highway_MPG,Air_Bags_standard,Drive_train_type,Number_of_cylinders,Engine_size,Horsepower,RPM,Engine_revolutions_per_mile,Manual_transmission_available,Fuel_tank_capacity,Passenger_capacity,Length,Wheelbase,Width,Rear_seat_room,Weight,Domestic,class
0,0.32258064516129026,0.3666666666666666,0.0,0.5,0.19999999999999996,0.1702127659574468,0.34693877551020413,0.9259259259259256,0.6447638603696098,1.0,0.2247191011235955,0.49999999999999994,0.46153846153846145,0.4137931034482758,0.44444444444444464,0.4411764705882353,0.41908713692946065,0.0,15.9
1,0.09677419354838701,0.16666666666666674,1.0,0.5,0.6000000000000001,0.46808510638297884,0.5918367346938775,0.6296296296296293,0.41683778234086233,1.0,0.4943820224719102,0.49999999999999994,0.6923076923076923,0.8620689655172415,0.6111111111111112,0.6470588235294117,0.7738589211618256,0.0,33.9
2,0.16129032258064513,0.20000000000000007,0.5,0.5,0.6000000000000001,0.3829787234042553,0.47755102040816333,0.6296296296296293,0.39425051334702255,1.0,0.4325842696629213,0.49999999999999994,0.4999999999999998,0.4137931034482758,0.38888888888888884,0.5294117647058822,0.6970954356846473,0.0,29.1
3,0.12903225806451613,0.20000000000000007,1.0,0.5,0.6000000000000001,0.3829787234042553,0.47755102040816333,0.6296296296296293,0.49897330595482536,1.0,0.6685393258426968,0.6666666666666667,0.6666666666666667,0.5517241379310343,0.5555555555555558,0.7058823529411764,0.7095435684647302,0.0,37.7
4,0.22580645161290325,0.33333333333333337,0.5,0.0,0.19999999999999996,0.5319148936170213,0.6244897959183674,0.7037037037037037,0.5030800821355235,1.0,0.6685393258426968,0.3333333333333333,0.5769230769230769,0.6551724137931032,0.5,0.47058823529411753,0.8070539419087137,0.0,30.0
5,0.22580645161290325,0.3666666666666666,0.5,0.5,0.19999999999999996,0.25531914893617025,0.22448979591836737,0.5185185185185184,0.5112936344969199,0.0,0.4044943820224719,0.6666666666666667,0.6153846153846152,0.5172413793103448,0.5,0.5294117647058822,0.49170124481327804,1.0,15.7
6,0.12903225806451613,0.2666666666666667,0.5,0.5,0.6000000000000001,0.5957446808510638,0.4693877551020409,0.37037037037037024,0.10266940451745377,0.0,0.4943820224719102,0.6666666666666667,0.7564102564102562,0.7241379310344827,0.7777777777777777,0.6764705882352942,0.7365145228215768,1.0,20.8
7,0.032258064516129004,0.16666666666666674,0.5,0.0,0.6000000000000001,1.0,0.5102040816326531,0.07407407407407396,0.0,0.0,0.7752808988764046,0.6666666666666667,0.9615384615384615,0.896551724137931,1.0,0.6764705882352942,1.0,1.0,23.7
8,0.12903225806451613,0.2333333333333334,0.5,0.5,0.6000000000000001,0.5957446808510638,0.4693877551020409,0.37037037037037024,0.15195071868583154,0.0,0.5393258426966292,0.49999999999999994,0.7307692307692306,0.6206896551724137,0.7222222222222223,0.4411764705882353,0.7468879668049793,1.0,26.3
9,0.032258064516129004,0.16666666666666674,0.5,0.5,1.0,0.8297872340425533,0.5918367346938775,0.11111111111111094,0.07802874743326482,0.0,0.4943820224719102,0.6666666666666667,0.8333333333333333,0.8275862068965516,0.7222222222222223,0.9411764705882351,0.7987551867219918,1.0,34.7
