,sex,GMAT,grade_point_average
0,0.0,0.5666666666666667,0.5240524781341107
1,0.0,0.43333333333333335,0.5801749271137027
2,1.0,0.8666666666666665,0.5728862973760935
3,0.0,0.33333333333333326,0.43731778425655987
4,0.0,0.46666666666666656,0.33017492711370267
5,0.0,0.3999999999999999,0.7084548104956268
6,1.0,0.2666666666666666,0.08381924198250745
7,1.0,0.5999999999999999,0.4059766763848396
8,0.0,0.06666666666666665,0.48979591836734704
9,0.0,0.8666666666666665,0.9788629737609331
10,0.0,0.33333333333333326,0.6144314868804668
11,0.0,0.6333333333333335,0.8265306122448979
12,0.0,0.2333333333333334,0.48250728862973746
13,0.0,0.6666666666666667,0.30903790087463534
14,0.0,0.5333333333333332,0.4234693877551021
15,0.0,0.5999999999999999,0.3170553935860059
16,1.0,0.0,0.0
17,0.0,0.5666666666666667,0.5765306122448979
18,0.0,0.5,0.8367346938775513
19,0.0,0.7333333333333332,0.8921282798833818
20,0.0,0.3999999999999999,0.6909620991253647
21,0.0,0.3666666666666667,0.6734693877551021
22,0.0,0.8,0.9890670553935861
23,0.0,0.3999999999999999,0.7674927113702625
24,0.0,0.5,0.65597667638484
25,0.0,0.9666666666666666,0.7871720116618075
26,0.0,0.09999999999999987,0.14577259475218662
27,1.0,0.19999999999999996,0.16180758017492725
28,0.0,0.7666666666666668,0.08017492711370289
29,0.0,0.5333333333333332,0.730320699708455
30,1.0,0.7,0.5269679300291545
31,0.0,0.5666666666666667,0.7463556851311952
32,1.0,0.43333333333333335,0.3294460641399417
33,1.0,0.5666666666666667,0.41326530612244916
34,1.0,0.6333333333333335,0.5138483965014577
35,0.0,0.2333333333333334,0.5116618075801749
36,0.0,0.5999999999999999,0.8017492711370262
37,0.0,0.5,0.5043731778425657
38,0.0,0.5333333333333332,0.5043731778425657
39,0.0,0.33333333333333326,0.6144314868804668
40,0.0,0.6333333333333335,0.6166180758017492
41,0.0,0.6666666666666667,0.6268221574344026
42,0.0,0.3666666666666667,0.5036443148688043
43,0.0,0.8333333333333333,0.90597667638484
44,0.0,0.43333333333333335,0.6078717201166182
45,0.0,0.3666666666666667,0.4482507288629738
46,1.0,0.2666666666666666,0.5349854227405246
47,0.0,0.5,1.0
48,0.0,0.5,0.21574344023323588
49,1.0,0.7333333333333332,0.5867346938775513
50,0.0,0.5999999999999999,0.5801749271137027
51,0.0,0.43333333333333335,0.6180758017492716
52,0.0,1.0000000000000002,0.6873177842565603
53,1.0,0.5,0.3440233236151604
54,0.0,0.5,0.20845481049562675
55,1.0,0.6333333333333335,0.6042274052478134
56,0.0,0.3666666666666667,0.32288629737609353
57,0.0,1.0000000000000002,0.8651603498542277
58,0.0,0.5333333333333332,0.638483965014577
59,0.0,0.6333333333333335,0.22011661807580163
60,0.0,0.16666666666666674,1.0
