,FTP,UEMP,MAN,LIC,GR,CLEAR,WM,NMAN,GOV,HE,WE,HOM,ACC,ASR
0,0.0,1.0,0.0,0.022302010668855177,0.04180060522566437,0.971830985915493,1.0,0.0,0.0,0.024561403508772006,0.0,0.001826067107966206,0.0,0.3458160144302407
1,0.07278188539741226,0.4871794871794872,0.15632911392405058,0.0,0.0,0.8338028169014082,0.8988331148249169,0.03372381966631166,0.03814432989690708,0.06315789473684208,0.11954284091715761,0.008673818762839541,0.0692695214105794,0.3810289389067525
2,0.09003388786198396,0.2564102564102564,0.3202531645569624,0.04268567911366436,0.03425294664829795,1.0,0.801318082952827,0.08768193113240996,0.09999999999999987,0.11228070175438609,0.1739192162987151,0.0,0.38664987405541584,0.23347188455807366
3,0.09711953173136134,0.14102564102564097,0.5082278481012659,0.06738818219121873,0.060275295253570726,0.9323943661971827,0.7073142552881548,0.18778842740504076,0.16907216494845367,0.1473684210526316,0.21864130048981312,0.008445560374343769,0.6511335012594457,0.06305387812720564
4,0.09365372766481794,0.038461538461538436,0.7626582278481013,0.14927164546573657,0.1379655468814393,0.9042253521126757,0.6167010754632627,0.3123890663826765,0.3134020618556701,0.19298245614035103,0.30290338610066003,0.10385756676557864,1.0,0.05038820484667861
5,0.0076247689463952995,0.0,0.925316455696203,0.24088018054985644,0.2203539510403052,0.802816901408451,0.5293529639285302,0.43201987930422425,0.47010309278350504,0.24210526315789482,0.2840207283310854,0.1380963250399452,0.927581863979849,0.0
6,0.06577325939617973,0.11538461538461531,0.7708860759493668,0.5223122691834222,0.5134527299916398,0.8281690140845068,0.4451543874983046,0.5257365992190273,0.5525773195876289,0.28771929824561404,0.2705331156385318,0.29308377082857795,0.7210327455919394,0.2671163046035605
7,0.27449168207024055,0.08974358974358965,0.8949367088607594,1.0,1.0,0.7661971830985914,0.3639898129869348,0.5733049343272987,0.634020618556701,0.0,0.10342869312131742,0.44533211595526134,0.7745591939546599,0.28860481530860316
8,0.45841035120147877,0.051282051282051266,1.0,0.6987997537956504,0.7132596229703156,0.5661971830985917,0.2857487303907531,0.6808661696840612,0.7876288659793818,0.47017543859649136,0.4369986512387307,0.5243095183748002,0.6290931989924431,0.40153713434240434
9,0.6244608749229821,0.5,0.7202531645569619,0.6549958965941731,0.6279392890364666,0.42253521126760596,0.21032565288807836,0.7799077032303867,0.9268041237113405,0.5473684210526315,0.43387520408887625,0.6589819675873089,0.41750629722921895,0.4118892635871696
10,0.7412199630314231,0.6666666666666667,0.5905063291139241,0.6784263438654083,0.6711057731934484,0.12676056338028174,0.13763016320318266,0.7710330138445152,0.9670103092783502,0.7473684210526317,0.6556399517285438,0.8614471581830632,0.33816120906800995,0.546584581601443
11,0.8960258780036972,0.576923076923077,0.6829113924050634,0.43779236766516205,0.9972093680454979,0.10140845070422544,0.06755175133239888,0.8835640752573661,1.0,0.8982456140350878,0.8722226165968623,0.8838164802556494,0.11712846347607053,0.8002509607089641
12,1.0,0.39743589743589747,0.9734177215189872,0.5674805088223226,0.5722797225852791,0.0,0.0,0.9999999999999998,0.9927835051546392,1.0,1.0,1.0,0.31486146095717915,1.0
