,Age,Civil,Can/US,Income
0,0.23268181433251528,0.7549449076978036,0.19813058970686298,45550.41
1,0.673641794256439,0.6070089066444943,0.25476438142444746,79129.5
2,0.5139068521740348,0.3000023857834456,0.3995986293804607,70202.66
3,0.41964574729814463,0.4406014192107595,0.3584531130278234,111268.15
4,0.3441985279311853,0.50358395244372,0.5791164827996063,50650.93
5,0.275014249985853,0.4114862413813887,0.723885905036777,101357.09
6,0.5615095625120349,0.33512764660445693,0.2316131739323879,77355.78
7,0.4641814172285841,0.5221301576128357,0.5052609123937739,53120.18
8,0.3279798183076732,0.37507627656064324,0.6264821411531265,61235.46
9,0.8612227122573687,0.38765800224462343,0.26962338906781014,85269.93
10,0.5807278469068292,0.6035850120730224,0.2849179794515927,96319.65
11,0.36489213086528033,0.18469674762866933,0.30756903243534356,89467.07
12,0.4254682382018778,0.4159036662595725,0.3922856189257775,99432.59
13,0.07595755024703267,0.5702251809109367,0.42580500329772375,104059.66
14,0.5239184863008594,0.7359755395564263,0.33836433799049564,31309.63
15,0.49858242613266024,0.4919085155757462,0.2870544422935346,115830.32
16,0.4856442231998853,0.7660053546698137,0.201010499651458,78901.06
17,0.5824742240704278,0.6705204196817447,0.15607735030698044,33746.63
18,0.6949186550495784,0.3904787617447057,0.5029689974553053,64081.86
19,0.5242412132891845,0.36181191751864716,0.29823695649530585,83153.02
20,0.8341435246501483,0.6765335289930388,0.27984250810876765,114089.37
21,0.5544611694303148,0.5453597281085967,0.5242273151829104,85453.86
22,0.29940187577939087,0.6762425640117168,0.6222462847278687,80417.82
23,0.5749199797636942,0.549183263843712,0.37442430076841166,38196.45
24,0.7464307276353362,0.5762659445225142,0.4397550787840762,84082.95
25,0.2737484822629638,0.42417196810560465,0.39788210665824836,157090.68
26,0.7825429534884863,0.5323195671750118,0.19683684983893748,85682.49
27,0.4812705227018368,0.5033492352656161,0.5084635333556163,81734.15
28,0.5766183219358835,0.5443857958305385,0.3633118088042537,76973.9
29,0.4759466049941158,0.4758021710537523,0.3389258917749274,74955.01
30,0.6069808823103782,0.5754773691054502,0.7100072807359417,41032.92
31,0.4337666355855335,0.7216134404557824,0.47188211072146363,88925.88
32,0.3976021658962957,0.7125510532037995,0.04906049669653019,120821.0
