,0,1,2
0,0.56096524,0.93253475,0.30836862
1,0.9898076,0.50636345,-0.67281824
2,0.94683784,0.6925378,-0.0998809
3,0.4655477,0.3202233,-0.7681796
4,0.16730805,0.40199134,0.057411503
5,0.8079307,0.70392764,-0.8027474
6,0.954029,0.9164945,1.0272974
7,0.33836916,0.10729525,1.2241107
8,0.53142625,0.15043941,-0.14844073
9,0.056939065,0.83197963,1.3392501
10,0.6097184,0.7156751,-0.8434889
11,0.39371213,0.4514799,-0.6919616
12,0.10807637,0.69777197,0.7702251
13,0.13927226,0.44084537,-0.0478569
14,0.48463556,0.3506008,-1.0218589
15,0.9839925,0.47625986,-0.74239707
16,0.6786635,0.9952188,-0.017357394
17,0.7060332,0.49205348,-1.9791362
18,0.95607036,0.026919767,0.99927354
19,0.8932187,0.39644286,-1.2247274
20,0.53013,0.8536423,0.2568739
21,0.6252489,0.32908,-1.5806696
22,0.54477453,0.4079183,-1.5384052
23,0.8473666,0.9636878,0.43368706
24,0.18500972,0.4230078,0.028773377
25,0.41747305,0.31456536,-0.43922618
26,0.4581914,0.10236882,0.5421328
27,0.6960991,0.79529315,-0.5008586
28,0.4802074,0.75204015,0.017428953
29,0.7494813,0.50100917,-1.9084029
30,0.6470196,0.17179927,-0.70743173
31,0.6299123,0.3931536,-1.829538
32,0.3832652,0.89955145,1.2912307
33,0.82084686,0.36257577,-1.505719
34,0.42274252,0.514025,-0.8193322
35,0.58375114,0.52332205,-1.6998615
36,0.098945975,0.30337027,0.28750944
37,0.0707808,0.7049164,0.67317253
38,0.94658613,0.6221361,-0.51444834
39,0.5488206,0.55603266,-1.4471194
40,0.9337577,0.043500125,0.81306165
41,0.39633217,0.14734569,0.6860893
42,0.34957483,0.4900691,-0.42987573
43,0.0011337766,0.3190476,-0.26610854
44,0.3864569,0.33305928,-0.33984476
45,0.56503075,0.03247831,0.21093296
46,0.9765947,0.26888058,-0.14050078
47,0.95936996,0.036620107,0.994103
48,0.53614134,0.8607668,0.25240272
49,0.46892238,0.90742564,0.78038466
50,0.3583864,0.30201694,-0.027242169
51,0.22569467,0.2595531,0.6857283
52,0.6034885,0.6629536,-1.1495917
53,0.21770273,0.7644658,1.3109766
54,0.40060014,0.11889121,0.8173078
55,0.93072605,0.09860845,0.576278
56,0.6068165,0.43113312,-1.8374442
57,0.29379624,0.7795707,1.2177765
58,0.6610632,0.6518733,-1.3494498
59,0.3427107,0.2826212,0.16166772
60,0.29352844,0.20523119,0.8511514
61,0.93758243,0.9068978,0.9052276
62,0.039111797,0.30329907,0.025036976
63,0.8890788,0.40771002,-1.2754464
64,0.65917957,0.67150795,-1.2298638
65,0.21081728,0.3313556,0.31295455
66,0.20067152,0.8363007,1.7022197
67,0.13626486,0.82982147,1.6105679
68,0.45765367,0.82506764,0.56058764
69,0.812644,0.053116105,0.109815896
70,0.81686354,0.45492342,-1.7118696
71,0.70445544,0.5103307,-1.9520124
72,0.74388134,0.5111035,-1.9027367
73,0.5556466,0.29665765,-1.1557065
74,0.99129003,0.18254147,0.48270053
75,0.017098393,0.81956017,1.0727739
76,0.4798569,0.8698692,0.60811
77,0.62486196,0.5611077,-1.7221386
78,0.86617213,0.93490595,0.5202311
79,0.62042034,0.44039568,-1.8880026
80,0.40081933,0.6646949,-0.03077725
81,0.5439593,0.26540488,-0.9201851
82,0.20059724,0.7517074,1.2449158
83,0.32228774,0.44219908,-0.30356398
84,0.90594524,0.41069528,-1.1799759
85,0.6877508,0.04264457,-0.1246186
86,0.9532694,0.1710393,0.31883103
87,0.65612054,0.77239746,-0.6034448
88,0.22129463,0.06987856,1.7639563
89,0.26610658,0.64899915,0.5103752
90,0.6712781,0.22363354,-1.0626518
91,0.049385436,0.103942186,1.2476099
92,0.15359311,0.26325068,0.65364134
93,0.8891244,0.36495563,-1.152364
94,0.8161167,0.75373274,-0.45786455
95,0.5047378,0.724586,-0.299182
96,0.24486387,0.80225706,1.4841216
97,0.7681662,0.75203156,-0.64304775
98,0.5653429,0.689496,-0.83627313
99,0.22734204,0.63891166,0.53294957
100,0.08227842,0.63159454,0.28211746
101,0.8756385,0.6603604,-0.73139393
102,0.99909973,0.20352265,0.39838386
103,0.43649793,0.36506566,-0.77772623
104,0.6876015,0.21973471,-1.0470341
105,0.6129459,0.38588083,-1.7629808
106,0.5695177,0.45454708,-1.711916
107,0.101117454,0.31118503,0.25446147
108,0.44036382,0.09672843,0.6809384
109,0.36445436,0.15750487,0.811313
110,0.8846861,0.5921689,-1.0437217
111,0.011351402,0.59454894,-0.25807914
112,0.59988165,0.3033211,-1.3751
113,0.81804335,0.5267974,-1.6263107
114,0.46094453,0.50801295,-1.0701953
115,0.5568317,0.6172849,-1.2163424
116,0.492959,0.6140757,-0.88568544
117,0.75556695,0.652737,-1.2888186
118,0.09835788,0.52961683,-0.08375189
119,0.07427746,0.41063178,-0.21436614
120,0.13095313,0.996113,1.9018675
121,0.19393729,0.7382142,1.1630324
122,0.55421287,0.40712827,-1.5832828
123,0.5854079,0.44366193,-1.7726501
124,0.3389578,0.18377954,0.7863083
125,0.8597029,0.12521794,0.018701779
126,0.09500026,0.62183154,0.2782047
127,0.59584105,0.609167,-1.4215944
128,0.50999534,0.5243646,-1.3321917
129,0.49277115,0.623555,-0.8349607
130,0.31721893,0.8296329,1.3842716
131,0.1368574,0.46635652,-0.061601553
132,0.9773878,0.9717067,1.2115242
133,0.10716324,0.21052112,0.86772126
134,0.0059161196,0.21903571,0.34083575
135,0.07519724,0.13042434,1.2288358
136,0.43440747,0.8441973,0.7927661
137,0.19484809,0.008216871,1.9583441
138,0.19677769,0.9591764,1.9995692
139,0.62690854,0.34628734,-1.6610923
140,0.5504294,0.7159022,-0.6004656
141,0.975736,0.63199943,-0.27939907
142,0.095777415,0.1840215,0.99433666
143,0.74190676,0.27091768,-1.3144072
144,0.41444227,0.38677058,-0.7103851
