,Climate_and_Terrain,Housing,Health_Care_and_Environment,Crime,Transportation,Education,The_Arts,Recreation,Economics
0,0.5167701863354037,0.05632812077268545,0.02484949404380684,0.2808219178082192,0.3858288770053476,0.5076923076923077,0.016651085671952445,0.24555555555555558,7633
1,0.5838509316770186,0.16119257615929877,0.20660945305495068,0.26392694063926936,0.49973262032085564,0.35432692307692304,0.09722540701673929,0.5182222222222223,4350
2,0.45093167701863357,0.11795898490341433,0.07365185090303573,0.30228310502283107,0.18529411764705883,0.4129807692307692,0.003263189459016105,0.12422222222222222,5250
3,0.4608695652173913,0.14874736215572754,0.1777891635711541,0.13789954337899543,0.7671122994652406,0.8163461538461538,0.08119168151270881,0.2926666666666667,5864
4,0.6881987577639752,0.1749905308154321,0.23184321762520813,0.5365296803652968,0.723663101604278,0.6370192307692308,0.07838710246414901,0.5137777777777778,5727
5,0.515527950310559,0.035712353227639215,0.07646983476367362,0.191324200913242,0.17366310160427806,0.6110576923076922,0.004974159067256981,0.15955555555555556,5254
6,0.5639751552795031,0.1693090200746713,0.07403612142948636,0.09406392694063928,0.23208556149732623,0.6937500000000001,0.04023424408657154,0.18155555555555558,5097
7,0.5366459627329192,0.07185758346409826,0.11809914179582426,0.18173515981735158,0.5120320855614974,0.5980769230769232,0.025311766884800593,0.2177777777777778,5795
8,0.5664596273291925,0.05584113413776315,0.049827078263097214,0.04155251141552513,0.41457219251336896,0.5177884615384616,0.003598327835888029,0.20222222222222225,4230
9,0.6260869565217392,0.07505005140414484,0.0801844498526963,0.34931506849315064,0.5022727272727273,0.5533653846153845,0.02086677367576244,0.17977777777777781,6241
10,0.9689440993788819,0.5891456090038418,0.2538747278083771,0.3082191780821918,0.37553475935828873,0.5490384615384616,0.09842484962870196,0.6346666666666667,6220
11,0.11180124223602486,0.37963313673502513,0.07147431791981554,0.4178082191780822,0.5275401069518717,0.34278846153846154,0.0404635492917997,0.6000000000000001,7668
12,0.5279503105590062,0.029489746225853597,0.06878442423466119,0.26027397260273977,0.22994652406417115,0.36923076923076925,0.00666748981355723,0.11955555555555557,3370
13,0.6037267080745342,0.030626048374005732,0.0995260663507109,0.3045662100456621,0.20882352941176469,0.5149038461538462,0.0020637468470534283,0.06955555555555555,4262
14,0.5478260869565217,0.3168118608300417,0.3157422825669271,0.3465753424657534,0.3058823529411765,0.7908653846153846,0.13241493658829134,0.4417777777777778,4579
15,0.5652173913043478,0.02007467128402146,0.07109004739336493,0.37305936073059354,0.25481283422459894,0.23461538461538467,0.0038099941791755604,0.19222222222222224,4730
16,0.3614906832298137,0.1470699637465505,0.10119123863199692,0.09908675799086758,0.2878342245989305,0.5495192307692307,0.019649692201859137,0.44777777777777783,5275
17,0.7316770186335404,0.08457334559818191,0.1487126937363904,0.11780821917808218,0.5268716577540107,0.6197115384615384,0.023618436138500346,0.276,5196
18,0.6161490683229813,0.08289594718900495,0.0719866786217497,0.28538812785388123,0.09639037433155082,0.45432692307692313,0.061630183620552816,0.1557777777777778,5193
19,0.7341614906832298,0.17082408960554085,0.4037402331241194,0.45662100456621,0.9711229946524065,0.6519230769230768,0.13241493658829134,0.23600000000000004,6315
20,0.6335403726708074,0.3200584383961907,0.076085564237223,0.7168949771689497,0.32232620320855615,0.5903846153846153,0.0100365124442171,0.5357777777777778,8107
21,0.5329192546583851,0.06130620637411399,0.2247982579736134,0.2575342465753425,0.18422459893048126,0.5836538461538461,0.017550667630924454,0.13622222222222224,5431
22,0.4583850931677018,0.282722796385477,0.14858460356090686,0.23424657534246576,0.3740641711229946,0.2437499999999999,0.06711586968408799,0.33333333333333337,5097
23,0.40993788819875776,0.1986905470483199,0.09465863968233636,0.33835616438356164,0.3375668449197861,0.6548076923076922,0.09353888487114811,0.16955555555555557,7439
24,0.5652173913043478,0.1574049023321249,0.048289996157294734,0.5721461187214611,0.3449197860962567,0.4149038461538461,0.02063746847053428,0.2817777777777778,6056
25,0.5739130434782609,0.2158432985228072,0.4507493275265787,0.6493150684931507,0.8368983957219251,0.8509615384615385,0.17173195985395023,0.5833333333333334,5503
26,0.42981366459627324,0.11460418808506034,0.09440245933136927,0.15662100456621006,0.5973262032085561,0.5927884615384615,0.03427230875063941,0.4106666666666667,5172
