,Group
0,0.0
1,0.0
2,0.0
3,0.0
4,0.08333333333333333
5,0.08333333333333333
6,0.08333333333333333
7,0.08333333333333333
8,0.16666666666666669
9,0.16666666666666669
10,0.16666666666666669
11,0.16666666666666669
12,0.25
13,0.25
14,0.25
15,0.25
16,0.3333333333333333
17,0.3333333333333333
18,0.3333333333333333
19,0.3333333333333333
20,0.4166666666666667
21,0.4166666666666667
22,0.4166666666666667
23,0.4166666666666667
24,0.49999999999999994
25,0.49999999999999994
26,0.49999999999999994
27,0.49999999999999994
28,0.5833333333333333
29,0.5833333333333333
30,0.5833333333333333
31,0.5833333333333333
32,0.6666666666666666
33,0.6666666666666666
34,0.6666666666666666
35,0.6666666666666666
36,0.7499999999999999
37,0.7499999999999999
38,0.7499999999999999
39,0.7499999999999999
40,0.8333333333333333
41,0.8333333333333333
42,0.8333333333333333
43,0.8333333333333333
44,0.9166666666666666
45,0.9166666666666666
46,0.9166666666666666
47,0.9166666666666666
48,0.9999999999999999
49,0.9999999999999999
50,0.9999999999999999
51,0.9999999999999999
52,0.0
53,0.0
54,0.0
55,0.0
56,0.08333333333333333
57,0.08333333333333333
58,0.08333333333333333
59,0.08333333333333333
60,0.16666666666666669
61,0.16666666666666669
62,0.16666666666666669
63,0.16666666666666669
64,0.25
65,0.25
66,0.25
67,0.25
68,0.3333333333333333
69,0.3333333333333333
70,0.3333333333333333
71,0.3333333333333333
72,0.4166666666666667
73,0.4166666666666667
74,0.4166666666666667
75,0.4166666666666667
76,0.49999999999999994
77,0.49999999999999994
78,0.49999999999999994
79,0.49999999999999994
80,0.5833333333333333
81,0.5833333333333333
82,0.5833333333333333
83,0.5833333333333333
84,0.6666666666666666
85,0.6666666666666666
86,0.6666666666666666
87,0.6666666666666666
88,0.7499999999999999
89,0.7499999999999999
90,0.7499999999999999
91,0.7499999999999999
92,0.8333333333333333
93,0.8333333333333333
94,0.8333333333333333
95,0.8333333333333333
96,0.9166666666666666
97,0.9166666666666666
98,0.9166666666666666
99,0.9166666666666666
100,0.9999999999999999
101,0.9999999999999999
102,0.9999999999999999
103,0.9999999999999999
104,0.0
105,0.0
106,0.0
107,0.0
108,0.08333333333333333
109,0.08333333333333333
110,0.08333333333333333
111,0.08333333333333333
112,0.16666666666666669
113,0.16666666666666669
114,0.16666666666666669
115,0.16666666666666669
116,0.25
117,0.25
118,0.25
119,0.25
120,0.3333333333333333
121,0.3333333333333333
122,0.3333333333333333
123,0.3333333333333333
124,0.4166666666666667
125,0.4166666666666667
126,0.4166666666666667
127,0.4166666666666667
128,0.49999999999999994
129,0.49999999999999994
130,0.49999999999999994
131,0.49999999999999994
132,0.5833333333333333
133,0.5833333333333333
134,0.5833333333333333
135,0.5833333333333333
136,0.6666666666666666
137,0.6666666666666666
138,0.6666666666666666
139,0.6666666666666666
140,0.7499999999999999
141,0.7499999999999999
142,0.7499999999999999
143,0.7499999999999999
144,0.8333333333333333
145,0.8333333333333333
146,0.8333333333333333
147,0.8333333333333333
148,0.9166666666666666
149,0.9166666666666666
150,0.9166666666666666
151,0.9166666666666666
152,0.9999999999999999
153,0.9999999999999999
154,0.9999999999999999
155,0.9999999999999999
156,0.0
157,0.0
158,0.0
159,0.0
160,0.08333333333333333
161,0.08333333333333333
162,0.08333333333333333
163,0.08333333333333333
164,0.16666666666666669
165,0.16666666666666669
166,0.16666666666666669
167,0.16666666666666669
168,0.25
169,0.25
170,0.25
171,0.25
172,0.3333333333333333
173,0.3333333333333333
174,0.3333333333333333
175,0.3333333333333333
176,0.4166666666666667
177,0.4166666666666667
178,0.4166666666666667
179,0.4166666666666667
180,0.49999999999999994
181,0.49999999999999994
182,0.49999999999999994
183,0.49999999999999994
184,0.5833333333333333
185,0.5833333333333333
186,0.5833333333333333
187,0.5833333333333333
188,0.6666666666666666
189,0.6666666666666666
190,0.6666666666666666
191,0.6666666666666666
192,0.7499999999999999
193,0.7499999999999999
194,0.7499999999999999
195,0.7499999999999999
196,0.8333333333333333
197,0.8333333333333333
198,0.8333333333333333
199,0.8333333333333333
200,0.9166666666666666
201,0.9166666666666666
202,0.9166666666666666
203,0.9166666666666666
204,0.9999999999999999
205,0.9999999999999999
206,0.9999999999999999
207,0.9999999999999999
208,0.0
209,0.0
210,0.0
211,0.0
212,0.08333333333333333
213,0.08333333333333333
214,0.08333333333333333
215,0.08333333333333333
216,0.16666666666666669
217,0.16666666666666669
218,0.16666666666666669
219,0.16666666666666669
220,0.25
221,0.25
222,0.25
223,0.25
224,0.3333333333333333
225,0.3333333333333333
226,0.3333333333333333
227,0.3333333333333333
228,0.4166666666666667
229,0.4166666666666667
230,0.4166666666666667
231,0.4166666666666667
232,0.49999999999999994
233,0.49999999999999994
234,0.49999999999999994
235,0.49999999999999994
236,0.5833333333333333
237,0.5833333333333333
238,0.5833333333333333
239,0.5833333333333333
240,0.6666666666666666
241,0.6666666666666666
242,0.6666666666666666
243,0.6666666666666666
244,0.7499999999999999
245,0.7499999999999999
246,0.7499999999999999
247,0.7499999999999999
248,0.8333333333333333
249,0.8333333333333333
250,0.8333333333333333
251,0.8333333333333333
252,0.9166666666666666
253,0.9166666666666666
254,0.9166666666666666
255,0.9166666666666666
256,0.9999999999999999
257,0.9999999999999999
258,0.9999999999999999
259,0.9999999999999999
260,0.0
261,0.0
262,0.0
263,0.0
264,0.08333333333333333
265,0.08333333333333333
266,0.08333333333333333
267,0.08333333333333333
268,0.16666666666666669
269,0.16666666666666669
270,0.16666666666666669
271,0.16666666666666669
272,0.25
273,0.25
274,0.25
275,0.25
276,0.3333333333333333
277,0.3333333333333333
278,0.3333333333333333
279,0.3333333333333333
280,0.4166666666666667
281,0.4166666666666667
282,0.4166666666666667
283,0.4166666666666667
284,0.49999999999999994
285,0.49999999999999994
286,0.49999999999999994
287,0.49999999999999994
288,0.5833333333333333
289,0.5833333333333333
290,0.5833333333333333
291,0.5833333333333333
292,0.6666666666666666
293,0.6666666666666666
294,0.6666666666666666
295,0.6666666666666666
296,0.7499999999999999
297,0.7499999999999999
298,0.7499999999999999
299,0.7499999999999999
300,0.8333333333333333
301,0.8333333333333333
302,0.8333333333333333
303,0.8333333333333333
304,0.9166666666666666
305,0.9166666666666666
306,0.9166666666666666
307,0.9166666666666666
308,0.9999999999999999
309,0.9999999999999999
310,0.9999999999999999
311,0.9999999999999999
312,0.0
313,0.0
314,0.0
315,0.0
316,0.08333333333333333
317,0.08333333333333333
318,0.08333333333333333
319,0.08333333333333333
320,0.16666666666666669
321,0.16666666666666669
322,0.16666666666666669
323,0.16666666666666669
324,0.25
325,0.25
326,0.25
327,0.25
328,0.3333333333333333
329,0.3333333333333333
330,0.3333333333333333
331,0.3333333333333333
332,0.4166666666666667
333,0.4166666666666667
334,0.4166666666666667
335,0.4166666666666667
336,0.49999999999999994
