,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT
0,0.39559141901200556,0.6976016684045874,0.6410256410256494,0.4222222222222222,0.4222222222222222,0.0,0.18,0.06781524926686218,0.0,0.31481481481481455,0.5775052692086607,0.6416065911431514,0.26920313906646415,0.20801526717557245,0.2872340425531916,0.9999999999999999,4.98
1,0.39755953552450307,0.7080291970802932,0.7336182336182304,0.36888888888888893,0.36888888888888893,0.0002359225391784276,0.0,0.2423020527859238,0.0,0.17283950617283939,0.5479977007089482,0.7826982492276005,0.3489619801944185,0.10496183206106868,0.5531914893617023,0.9999999999999999,9.14
2,0.3977563471757528,0.7372262773722582,0.7207977207977194,0.66,0.66,0.00023569774400055392,0.0,0.2423020527859238,0.0,0.17283950617283939,0.6943858976815481,0.5993820803295572,0.3489619801944185,0.10496183206106868,0.5531914893617023,0.9897372535175752,4.03
3,0.39952765203700064,0.7539103232533932,0.7492877492877454,0.6311111111111111,0.6311111111111111,0.0002927957191804687,0.0,0.06304985337243403,0.0,0.15020576131687235,0.65855527878904,0.44181256436663235,0.44854458983895457,0.06679389312977096,0.6489361702127658,0.9942760603156993,2.94
4,0.3997244636882504,0.7664233576642232,0.7635327635327656,0.6933333333333334,0.6933333333333334,0.0007050700754007986,0.0,0.06304985337243403,0.0,0.15020576131687235,0.6871048093504503,0.5283213182286303,0.44854458983895457,0.06679389312977096,0.6489361702127658,0.9999999999999999,5.33
5,0.3999212753395001,0.7778936392075195,0.7806267806267897,0.5266666666666666,0.5266666666666666,0.000264471526768385,0.0,0.06304985337243403,0.0,0.15020576131687235,0.5497221689978923,0.5746652935118435,0.44854458983895457,0.06679389312977096,0.6489361702127658,0.9929900650562308,5.21
6,0.40149576854949814,0.7372262773722582,0.7606837606837473,0.39777777777777773,0.39777777777777773,0.000921323036515279,0.125,0.27162756598240473,0.0,0.28600823045267487,0.46963019735581535,0.6560247167868176,0.4029226418354264,0.2366412213740458,0.2765957446808509,0.9967219728680217,12.43
7,0.4016925802007479,0.7340980187695436,0.7977207977207996,0.4911111111111112,0.38000000000000006,0.0015536718718739421,0.125,0.27162756598240473,0.0,0.28600823045267487,0.5002874113814909,0.9598352214212151,0.43838718184215547,0.2366412213740458,0.2765957446808509,0.9999999999999999,19.15
8,0.4018893918519977,0.743482794577659,0.8034188034187935,0.2555555555555556,0.2555555555555556,0.0023032513924937294,0.125,0.27162756598240473,0.0,0.28600823045267487,0.3966277064571758,1.0,0.4503541907264775,0.2366412213740458,0.2765957446808509,0.9741035856573705,29.93
9,0.4020862035032474,0.7518248175182407,0.8148148148148238,0.3088888888888889,0.3088888888888889,0.0018401733260739476,0.125,0.27162756598240473,0.0,0.28600823045267487,0.46809733665453146,0.8547888774459321,0.49673089688912336,0.2366412213740458,0.2765957446808509,0.9743053104039537,17.1
10,0.40228301515449716,0.7393117831073823,0.8148148148148238,0.22222222222222227,0.22222222222222227,0.002456674101392516,0.125,0.27162756598240473,0.0,0.28600823045267487,0.5395669668518875,0.94129763130793,0.4744155171002738,0.2366412213740458,0.2765957446808509,0.988955570124565,20.45
11,0.4024798268057469,0.7205422314911232,0.8176638176638136,0.3088888888888889,0.3088888888888889,0.0012492992010329788,0.125,0.27162756598240473,0.0,0.28600823045267487,0.46905537459283375,0.82389289392379,0.4635033509443571,0.2366412213740458,0.2765957446808509,0.9999999999999999,13.27
12,0.4026766384569967,0.7059436913451691,0.7863247863247693,0.3711111111111111,0.3711111111111111,0.0009830293128416045,0.125,0.27162756598240473,0.0,0.28600823045267487,0.4460624640735772,0.3717816683831102,0.3929561967463558,0.2366412213740458,0.2765957446808509,0.983862020273337,15.71
13,0.4034638850619957,0.6777893639207377,0.7464387464387414,0.3422222222222222,0.3422222222222222,0.007007315284678365,0.0,0.28152492668621704,0.0,0.31481481481481455,0.4575589193332056,0.6065911431513903,0.325355327410452,0.22900763358778625,0.8936170212765959,0.9999999999999999,8.26
14,0.40366069671324545,0.6621480709071932,0.7321937321937213,0.29333333333333333,0.29333333333333333,0.007099481307606575,0.0,0.28152492668621704,0.0,0.31481481481481455,0.48572523471929496,0.8403707518022657,0.30302176067800923,0.22900763358778625,0.8936170212765959,0.9574360784709264,10.26
15,0.4038575083644952,0.6527632950990494,0.7521367521367353,0.3311111111111111,0.3311111111111111,0.006980677056100335,0.0,0.28152492668621704,0.0,0.31481481481481455,0.4355240467522513,0.5520082389289392,0.3063590648273604,0.22900763358778625,0.8936170212765959,0.9967724040546674,8.47
16,0.404054320015745,0.6308654848801041,0.7649572649572463,0.4022222222222223,0.4022222222222223,0.011774883814612317,0.0,0.28152492668621704,0.0,0.31481481481481455,0.45487641310595894,0.2718846549948507,0.3063590648273604,0.22900763358778625,0.8936170212765959,0.9746583287104746,6.58
